,name,team,nationality,position,age,games,games_starts,minutes,goals,assists,cards_yellow,cards_red,xg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,passes_completed,passes_pct,passes_total_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,sca,sca_per90,gca,gca_per90,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,crosses,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Aaron Cresswell,West Ham,eng ENG,DF,35-127,14,7,589,0,0,2,0,0.1,1.1,4,24,2,0.0,0.0,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.0,0.0,29.8,355,80.7,6769,90.8,85.9,54.9,7,40,4,1,12,1.83,0,0.0,8,4,8,2,7,4,3,6,495,33,196,236,68,1,1,100.0,0.0,200,388,7,0,3,0,312,3,1,0,27,21,7,6,53.8
1,Aaron Ramsdale,Southampton,eng ENG,GK,26-342,25,25,2250,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.32,67.7,8.0,28.6,N/a,0.0,N/a,N/a,675,65.3,18762,99.5,95.9,39.5,0,32,1,0,3,0.12,0,0.0,0,0,2,2,0,0,0,2,1111,803,1094,20,0,0,0,N/a,N/a,687,2044,0,0,2,0,621,1,4,0,0,18,4,0,100.0
2,Aaron Wan-Bissaka,West Ham,eng ENG,DF,27-146,31,30,2704,2,2,1,0,1.0,2.7,93,118,131,0.07,0.07,0.03,0.09,N/a,N/a,N/a,N/a,30.8,0.13,0.15,15.5,1234,80.9,17639,89.7,82.1,47.9,27,85,27,11,75,2.5,5,0.17,61,43,26,7,31,9,22,57,1900,134,610,808,509,38,95,53.7,34.7,887,3193,54,12,28,20,1090,22,23,4,61,153,22,28,44.0
3,Abdoulaye Doucouré,Everton,ml MLI,MF,32-110,29,28,2335,3,1,5,1,3.7,2.3,38,74,88,0.12,0.04,0.14,0.09,N/a,N/a,N/a,N/a,32.1,0.35,0.11,13.9,657,79.8,9948,84.9,83.2,74.1,26,43,14,0,53,2.04,2,0.08,42,25,33,21,29,6,23,9,1055,31,213,481,376,56,41,56.1,43.9,559,1301,22,8,32,34,680,46,5,9,22,134,29,40,42.0
4,Abdukodir Khusanov,Manchester City,uz UZB,DF,21-051,6,6,503,0,0,1,0,0.0,0.1,1,25,2,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,23.9,360,91.1,6126,94.7,97.0,26.1,2,23,0,0,5,0.89,0,0.0,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,0,2,1,332,3,3,0,1,27,6,4,60.0
5,Abdul Fatawu Issahaku,Leicester City,gh GHA,FW,21-044,11,6,579,0,2,0,0,0.4,1.6,42,17,60,0.0,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.0,31.2,123,62.4,2150,72.8,76.3,48.5,6,7,7,2,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,24,15,18,12,216,11,20,2,30,38,14,13,51.9
6,Adam Armstrong,Southampton,eng ENG,"FW,MF",28-070,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.5,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,13,6,11,18,286,12,5,9,14,23,5,9,35.7
7,Adam Lallana,Southampton,eng ENG,MF,36-346,14,5,361,0,2,4,0,0.2,0.9,6,24,10,0.0,0.5,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.0,0.0,18.1,221,85.0,2891,89.1,91.0,44.4,4,21,9,3,9,2.24,2,0.5,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,8,0,10,6,245,8,8,0,4,19,2,2,50.0
8,Adam Smith,Bournemouth,eng ENG,DF,33-357,21,16,1319,0,0,5,0,0.7,0.2,12,39,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.9,415,75.7,6761,87.7,78.8,35.3,6,39,6,3,17,1.16,1,0.07,20,10,23,12,10,3,7,14,671,34,205,316,154,6,15,40.0,40.0,293,577,15,0,10,6,320,13,10,0,28,40,12,12,50.0
9,Adam Webster,Brighton,eng ENG,DF,30-107,11,8,617,0,0,0,0,0.0,0.5,7,40,2,0.0,0.0,0.0,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.0,15.3,429,85.6,7934,95.5,91.8,50.6,3,32,2,0,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,2,0,3,1,384,5,2,1,1,20,17,4,81.0
10,Adam Wharton,Crystal Palace,eng ENG,MF,20-323,18,14,1196,0,1,2,0,0.3,2.8,14,103,10,0.0,0.08,0.02,0.21,N/a,N/a,N/a,N/a,45.5,0.38,0.0,24.5,500,75.8,9402,82.2,80.9,63.9,23,71,18,5,54,4.07,5,0.38,33,14,41,25,10,2,8,17,795,27,189,419,191,10,10,20.0,80.0,396,972,20,2,14,12,490,12,21,0,32,91,7,16,30.4
11,Adama Traoré,Fulham,es ESP,"FW,MF",29-086,31,16,1523,2,5,2,0,3.8,4.1,80,58,139,0.12,0.3,0.22,0.24,N/a,N/a,N/a,N/a,31.4,0.65,0.06,14.3,368,71.7,5748,81.3,72.8,55.3,33,33,27,14,67,3.96,8,0.47,17,12,13,8,6,0,6,1,701,2,71,255,395,83,85,49.4,37.6,468,2108,39,32,30,19,532,20,29,1,84,75,24,25,49.0
12,Albert Grønbaek,Southampton,dk DEN,"FW,MF",23-333,4,2,143,0,0,0,0,0.1,0.0,1,1,3,0.0,0.0,0.07,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.0,22.4,13,72.2,135,81.8,50.0,N/a,1,2,0,0,2,1.26,0,0.0,4,1,10,7,1,1,0,0,38,2,9,14,15,2,4,0.0,100.0,18,15,0,1,5,4,21,0,1,0,1,6,2,0,100.0
13,Alejandro Garnacho,Manchester Utd,ar ARG,"MF,FW",20-294,32,21,1966,5,1,2,0,6.2,3.5,130,50,260,0.23,0.05,0.28,0.16,N/a,N/a,N/a,N/a,37.0,1.24,0.07,16.9,579,79.3,8106,89.5,82.9,56.5,29,19,21,3,69,3.16,4,0.18,28,18,33,22,17,0,17,11,1033,13,118,329,603,152,82,29.3,62.2,747,2922,66,63,57,46,793,10,38,9,47,102,3,23,11.5
14,Alex Iwobi,Fulham,ng NGA,"FW,MF",28-353,33,31,2636,9,5,1,0,4.3,6.4,128,186,215,0.31,0.17,0.15,0.22,N/a,N/a,N/a,N/a,45.0,0.92,0.15,18.5,995,74.5,17063,86.2,77.3,54.3,52,101,74,15,111,3.79,15,0.51,37,21,28,11,25,1,24,11,1631,31,222,659,774,102,83,50.6,44.6,1149,3881,95,35,55,38,1270,16,16,4,109,122,5,29,14.7
15,Alex McCarthy,Southampton,eng ENG,GK,35-139,5,5,450,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.6,70.3,0.0,0.0,N/a,0.0,N/a,N/a,117,75.0,2823,95.3,91.8,49.2,0,5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,N/a,N/a,100,276,0,0,0,0,88,0,1,0,0,4,2,0,100.0
16,Alex Palmer,Ipswich Town,eng ENG,GK,28-254,9,9,810,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.44,60.7,0.0,N/a,N/a,0.0,N/a,N/a,191,68.7,5655,95.2,100.0,44.4,1,3,0,0,2,0.22,0,0.0,0,0,0,0,0,0,0,0,317,268,312,6,0,0,0,N/a,N/a,142,483,0,0,1,0,101,1,1,0,0,13,3,0,100.0
17,Alex Scott,Bournemouth,eng ENG,MF,21-243,16,6,612,0,0,2,0,0.7,0.8,12,48,31,0.0,0.0,0.1,0.12,N/a,N/a,N/a,N/a,38.5,0.74,0.0,20.0,233,84.1,3775,89.3,91.3,61.5,9,35,4,0,25,3.67,2,0.29,25,12,32,15,14,3,11,9,402,18,71,219,117,16,24,20.8,50.0,219,530,6,1,20,8,247,9,24,0,3,45,5,6,45.5
18,Alexander Isak,Newcastle Utd,se SWE,FW,25-212,30,30,2411,21,6,1,0,17.5,4.0,76,74,192,0.78,0.22,0.66,0.15,N/a,N/a,N/a,N/a,45.1,1.38,0.23,14.4,441,73.6,6305,82.5,77.4,62.9,38,32,23,1,83,3.1,14,0.52,12,5,12,7,18,2,16,3,896,19,52,337,521,166,85,49.4,49.4,541,1700,40,42,59,50,632,24,12,20,15,52,25,47,34.7
19,Alexis Mac Allister,Liverpool,ar ARG,MF,26-118,32,29,2471,4,4,6,0,2.7,4.4,32,169,75,0.15,0.15,0.1,0.16,N/a,N/a,N/a,N/a,34.3,0.44,0.11,18.2,1209,83.4,19362,90.0,88.4,56.0,41,116,34,2,115,4.19,14,0.51,88,54,92,43,58,5,53,21,1766,52,265,919,601,56,41,39.0,51.2,866,1881,39,3,29,22,1173,59,39,2,80,138,18,33,35.3
20,Ali Al Hamadi,Ipswich Town,iq IRQ,FW,23-051,11,0,134,0,0,3,0,0.4,0.1,4,3,14,0.0,0.0,0.24,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.0,15.7,25,83.3,278,87.0,71.4,N/a,2,0,0,0,8,5.37,0,0.0,1,0,2,2,0,0,0,0,53,2,6,20,30,9,7,57.1,42.9,29,111,3,4,7,4,36,8,3,1,0,4,5,9,35.7
21,Alisson,Liverpool,br BRA,GK,32-201,23,23,2058,0,0,0,0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.03,0.83,72.1,39.1,N/a,N/a,0.0,N/a,N/a,590,82.4,13159,98.9,98.4,46.8,1,10,0,0,6,0.26,1,0.04,1,0,1,1,0,0,0,0,758,551,743,15,0,0,1,100.0,0.0,482,1133,0,0,1,0,453,0,2,0,0,41,6,0,100.0
22,Alphonse Areola,West Ham,fr FRA,GK,32-053,22,21,1900,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.66,62.8,19.0,N/a,N/a,0.0,N/a,N/a,583,70.0,15548,99.2,95.0,43.1,0,7,0,0,3,0.14,0,0.0,2,2,3,1,0,0,0,0,883,707,875,9,0,0,0,N/a,N/a,494,1103,0,0,0,0,451,0,0,0,0,26,2,0,100.0
23,Amad Diallo,Manchester Utd,ci CIV,"FW,MF",22-284,22,17,1594,6,6,3,0,4.1,3.9,92,53,159,0.34,0.34,0.23,0.22,N/a,N/a,N/a,N/a,32.5,0.73,0.15,17.7,658,82.9,9051,90.4,85.3,52.4,39,25,29,5,80,4.52,16,0.9,33,26,26,11,10,0,10,11,1012,13,150,374,504,109,72,50.0,44.4,656,2294,46,52,35,32,714,19,23,9,38,93,9,15,37.5
24,Amadou Onana,Aston Villa,be BEL,MF,23-248,21,16,1273,3,0,4,0,1.9,0.3,20,58,13,0.21,0.0,0.14,0.02,N/a,N/a,N/a,N/a,37.5,0.42,0.19,15.2,575,88.7,9034,94.8,90.0,71.4,7,52,8,1,23,1.62,4,0.28,45,24,24,10,13,6,7,23,808,54,208,485,128,17,16,62.5,18.8,452,1215,19,1,10,8,547,29,23,0,1,62,22,17,56.4
25,Andreas Pereira,Fulham,br BRA,MF,29-110,30,22,1834,2,4,7,0,3.4,4.3,27,98,79,0.1,0.2,0.17,0.21,N/a,N/a,N/a,N/a,23.5,0.39,0.06,22.2,623,68.9,11351,83.4,78.4,41.4,54,64,19,4,96,4.71,8,0.39,22,12,39,29,16,2,14,8,1064,16,154,436,491,37,29,44.8,27.6,541,1249,34,8,24,21,632,26,22,1,158,97,12,20,37.5
26,Andrew Robertson,Liverpool,sct SCO,DF,31-041,30,26,2218,0,0,3,1,0.9,4.1,57,163,90,0.0,0.0,0.04,0.17,N/a,N/a,N/a,N/a,16.7,0.08,0.0,15.0,1405,83.2,23582,94.4,87.0,46.7,38,139,27,15,73,2.96,3,0.12,38,22,47,17,9,4,5,20,1877,85,475,856,559,47,18,38.9,55.6,998,2541,48,6,24,10,1255,10,7,2,131,89,6,12,33.3
27,André,Wolves,br BRA,MF,23-279,28,26,2087,0,0,7,0,0.3,0.7,8,90,11,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,14.3,0.04,0.0,22.5,1026,92.8,16152,95.3,95.3,79.2,13,95,4,0,42,1.81,3,0.13,69,42,53,23,40,8,32,29,1339,80,363,867,123,3,26,50.0,34.6,741,1357,14,0,25,14,895,34,32,0,0,166,2,6,25.0
28,André Onana,Manchester Utd,cm CMR,GK,29-019,32,32,2880,0,0,0,0,0.0,0.2,0,1,0,0.0,0.0,0.0,0.01,1.31,69.5,28.1,25.0,N/a,0.0,N/a,N/a,892,73.0,21204,99.1,99.0,36.2,1,23,0,0,4,0.12,0,0.0,1,1,3,2,0,0,0,0,1286,975,1265,22,0,0,0,N/a,N/a,912,2579,0,0,1,0,791,0,2,0,0,30,6,0,100.0
29,Andrés García,Aston Villa,es ESP,"DF,MF",22-073,7,5,318,0,0,0,0,0.0,0.2,26,15,28,0.0,0.0,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.0,26.6,174,86.6,2725,92.7,90.2,53.8,3,9,8,5,3,0.85,0,0.0,9,5,8,4,2,0,2,2,256,8,38,108,112,2,18,27.8,66.7,159,673,13,2,10,6,168,1,0,0,18,15,0,6,0.0
30,Andy Irving,West Ham,sct SCO,MF,24-343,10,1,166,0,0,2,0,0.1,0.2,0,9,4,0.0,0.0,0.06,0.13,N/a,N/a,N/a,N/a,50.0,1.08,0.0,26.2,109,87.9,1705,95.3,83.7,100.0,1,14,1,1,5,2.68,0,0.0,7,4,5,4,5,1,4,1,150,7,37,89,24,0,1,100.0,0.0,73,137,1,0,1,3,104,6,1,0,2,10,1,1,50.0
31,Anthony Elanga,Nott'ham Forest,se SWE,FW,22-359,32,25,2007,6,8,1,0,3.9,4.3,79,47,162,0.27,0.36,0.18,0.19,N/a,N/a,N/a,N/a,45.7,0.72,0.17,16.8,418,65.2,6008,84.1,63.4,33.7,39,26,22,6,81,3.64,13,0.58,17,12,16,12,9,1,8,5,886,29,124,254,524,86,71,31.0,45.1,462,2068,41,36,64,34,583,6,32,12,140,77,21,32,39.6
32,Anthony Gordon,Newcastle Utd,eng ENG,FW,24-056,29,25,2176,6,5,2,0,7.9,4.9,108,91,190,0.25,0.21,0.33,0.2,N/a,N/a,N/a,N/a,28.3,0.62,0.09,16.3,642,72.6,9893,85.9,77.5,41.7,49,59,49,16,96,3.97,12,0.5,31,17,34,22,24,2,22,6,1142,16,114,434,613,123,95,36.8,46.3,735,2937,54,55,28,35,820,19,62,7,119,91,5,7,41.7
33,Antoine Semenyo,Bournemouth,gh GHA,FW,25-104,32,32,2823,8,4,9,0,9.1,5.7,132,103,258,0.26,0.13,0.29,0.18,N/a,N/a,N/a,N/a,31.0,1.15,0.07,17.2,713,73.4,10210,85.0,76.7,38.0,44,47,44,8,121,3.86,12,0.38,51,33,40,26,55,7,48,8,1448,41,174,504,802,174,122,52.5,40.2,875,3299,64,64,75,69,1012,64,36,14,52,142,60,71,45.8
34,Antonee Robinson,Fulham,us USA,DF,27-256,33,32,2899,0,10,8,0,0.7,4.1,110,120,256,0.0,0.31,0.02,0.13,N/a,N/a,N/a,N/a,12.5,0.06,0.0,22.1,1481,76.6,25332,86.6,79.0,56.6,41,109,50,26,74,2.3,11,0.34,84,56,86,43,36,6,30,56,2337,121,740,891,739,65,75,44.0,41.3,1237,3913,57,29,40,18,1400,30,17,6,158,142,45,25,64.3
35,Antony,Manchester Utd,br BRA,"DF,MF",25-056,8,0,141,0,0,0,0,1.0,0.1,5,6,7,0.0,0.0,0.65,0.08,N/a,N/a,N/a,N/a,50.0,1.91,0.0,15.8,56,81.2,688,88.2,64.3,100.0,3,1,5,2,8,5.11,0,0.0,6,3,5,3,2,0,2,2,101,2,22,26,54,8,11,36.4,54.5,60,182,6,1,5,1,69,2,5,0,5,11,0,1,0.0
36,Antonín Kinský,Tottenham,cz CZE,GK,22-039,4,4,360,0,0,0,0,0.0,0.1,1,1,0,0.0,0.0,0.0,0.02,1.75,56.3,25.0,N/a,N/a,0.0,N/a,N/a,116,80.0,2699,100.0,96.1,47.9,1,2,0,0,1,0.25,0,0.0,3,1,1,0,0,0,0,0,156,134,154,2,0,0,0,N/a,N/a,97,267,0,0,0,0,98,0,0,0,0,4,2,0,100.0
