,team,Median of games,Mean of games,Std of games,Median of games_starts,Mean of games_starts,Std of games_starts,Median of minutes,Mean of minutes,Std of minutes,Median of goals,Mean of goals,Std of goals,Median of assists,Mean of assists,Std of assists,Median of cards_yellow,Mean of cards_yellow,Std of cards_yellow,Median of cards_red,Mean of cards_red,Std of cards_red,Median of xg,Mean of xg,Std of xg,Median of xg_assist,Mean of xg_assist,Std of xg_assist,Median of progressive_carries,Mean of progressive_carries,Std of progressive_carries,Median of progressive_passes,Mean of progressive_passes,Std of progressive_passes,Median of progressive_passes_received,Mean of progressive_passes_received,Std of progressive_passes_received,Median of goals_per90,Mean of goals_per90,Std of goals_per90,Median of assists_per90,Mean of assists_per90,Std of assists_per90,Median of xg_per90,Mean of xg_per90,Std of xg_per90,Median of xg_assist_per90,Mean of xg_assist_per90,Std of xg_assist_per90,Median of shots_on_target_per90,Mean of shots_on_target_per90,Std of shots_on_target_per90,Median of passes_completed,Mean of passes_completed,Std of passes_completed,Median of passes_pct,Mean of passes_pct,Std of passes_pct,Median of passes_total_distance,Mean of passes_total_distance,Std of passes_total_distance,Median of passes_pct_short,Mean of passes_pct_short,Std of passes_pct_short,Median of passes_pct_medium,Mean of passes_pct_medium,Std of passes_pct_medium,Median of assisted_shots,Mean of assisted_shots,Std of assisted_shots,Median of passes_into_final_third,Mean of passes_into_final_third,Std of passes_into_final_third,Median of passes_into_penalty_area,Mean of passes_into_penalty_area,Std of passes_into_penalty_area,Median of crosses_into_penalty_area,Mean of crosses_into_penalty_area,Std of crosses_into_penalty_area,Median of sca,Mean of sca,Std of sca,Median of sca_per90,Mean of sca_per90,Std of sca_per90,Median of gca,Mean of gca,Std of gca,Median of gca_per90,Mean of gca_per90,Std of gca_per90,Median of tackles,Mean of tackles,Std of tackles,Median of tackles_won,Mean of tackles_won,Std of tackles_won,Median of challenges,Mean of challenges,Std of challenges,Median of challenges_lost,Mean of challenges_lost,Std of challenges_lost,Median of blocks,Mean of blocks,Std of blocks,Median of blocked_shots,Mean of blocked_shots,Std of blocked_shots,Median of blocked_passes,Mean of blocked_passes,Std of blocked_passes,Median of interceptions,Mean of interceptions,Std of interceptions,Median of touches,Mean of touches,Std of touches,Median of touches_def_pen_area,Mean of touches_def_pen_area,Std of touches_def_pen_area,Median of touches_def_3rd,Mean of touches_def_3rd,Std of touches_def_3rd,Median of touches_mid_3rd,Mean of touches_mid_3rd,Std of touches_mid_3rd,Median of touches_att_3rd,Mean of touches_att_3rd,Std of touches_att_3rd,Median of touches_att_pen_area,Mean of touches_att_pen_area,Std of touches_att_pen_area,Median of take_ons,Mean of take_ons,Std of take_ons,Median of carries,Mean of carries,Std of carries,Median of carries_progressive_distance,Mean of carries_progressive_distance,Std of carries_progressive_distance,Median of carries_into_final_third,Mean of carries_into_final_third,Std of carries_into_final_third,Median of carries_into_penalty_area,Mean of carries_into_penalty_area,Std of carries_into_penalty_area,Median of miscontrols,Mean of miscontrols,Std of miscontrols,Median of dispossessed,Mean of dispossessed,Std of dispossessed,Median of passes_received,Mean of passes_received,Std of passes_received,Median of fouls,Mean of fouls,Std of fouls,Median of fouled,Mean of fouled,Std of fouled,Median of offsides,Mean of offsides,Std of offsides,Median of crosses,Mean of crosses,Std of crosses,Median of ball_recoveries,Mean of ball_recoveries,Std of ball_recoveries,Median of aerials_won,Mean of aerials_won,Std of aerials_won,Median of aerials_lost,Mean of aerials_lost,Std of aerials_lost
0,all,21.0,19.76523702031603,9.255496673081014,14.0,14.503386004514672,10.170797621408106,1252.0,1300.1015801354401,859.820543768399,0.0,1.925507900677201,3.4122953623101444,1.0,1.4311512415349887,2.1633778854523524,2.0,2.801354401805869,2.509943657927484,0.0,0.08577878103837472,0.30359984350885505,0.8,1.9690744920993226,3.035717363446071,0.8,1.4530474040632055,1.8382335769069535,14.0,25.252821670428894,29.517142958719806,37.0,50.03160270880361,48.134604760814355,23.0,49.40406320541761,62.322084736443536,0.0,0.12139954853273138,0.19239813241625237,0.03,0.08979683972911964,0.12473756809785683,0.07,0.1370880361173815,0.16639607906448664,0.07,0.09839729119638826,0.1014528185009468,0.22,0.40900677200902935,0.4880011937612522,436.0,538.3453724604966,443.39396534266575,80.7,79.78487584650112,8.07859423226708,6984.0,9216.494356659143,7971.525894559822,89.9,89.00902934537245,6.548072128742115,86.0,84.527539503386,9.778358690669446,8.0,13.081264108352144,14.787107207797114,27.0,41.77200902934537,43.39735309275132,6.0,11.212189616252822,13.885443904843394,1.0,2.5936794582392775,4.060866741645262,19.0,30.584650112866818,31.09799049322429,1.83,2.0984650112866814,1.4431849175875577,2.0,3.3566591422121896,4.04713402184718,0.16,0.21871331828442442,0.2338037164132498,16.0,23.169300225733636,21.06455830245519,10.0,13.821670428893905,12.926078725990479,16.0,21.126410835214447,19.001483687797116,8.0,10.395033860045146,9.710500575948826,11.0,14.415349887133182,12.859453942648338,2.0,4.817155756207675,6.7247415157060635,8.0,9.598194130925508,8.942814623095037,7.0,10.580135440180587,11.32409288285925,697.0,804.8103837471783,597.8402116916052,31.0,89.50338600451467,165.0283174995865,149.0,264.92099322799095,291.09979565241116,261.0,344.31376975169303,303.8607958033655,128.0,203.42663656884875,202.9081126638745,19.0,33.386004514672685,40.078853081353536,13.0,24.36117381489842,30.120580154526998,384.0,457.07900677200905,346.27115886724476,1035.0,1265.7133182844243,1050.481206897078,12.0,16.981941309255077,17.722333963382752,2.0,7.957110609480813,13.924179391369245,11.0,17.772009029345373,18.224714269586315,7.0,12.534988713318285,14.327631096564387,458.0,532.6546275395034,405.88423710727835,11.0,14.627539503386005,13.224783399680259,10.0,14.243792325056434,14.07282854414107,1.0,2.1670428893905194,3.521632831059887,9.0,23.124153498871333,33.94353081320331,42.0,55.2686230248307,44.07421327376655,9.0,16.812641083521445,19.620001407392692,12.0,16.89841986455982,17.037782667398506
1,Arsenal,21.5,21.272727272727273,7.765502578908226,15.0,16.0,9.783367810436532,1356.0,1429.7727272727273,849.4148087454192,2.0,2.5,2.558831578595795,1.0,2.0,2.5260547066428276,2.5,2.8636363636363638,1.8846612565519705,0.0,0.22727272727272727,0.5284134548067254,1.65,2.3272727272727276,2.420386001915479,0.8500000000000001,1.768181818181818,2.009355822772767,21.0,32.04545454545455,29.67358497083972,53.0,69.5,56.291545504081654,50.0,68.5,69.64313797257176,0.095,0.15318181818181817,0.16214004421916856,0.08,0.13045454545454543,0.17089337451915876,0.1,0.15227272727272728,0.14188968948688266,0.08499999999999999,0.12090909090909087,0.12447639251830965,0.23,0.40090909090909094,0.4075000331978845,419.0,637.4545454545455,513.9171442643562,82.25,81.70454545454547,6.329107156826894,6499.5,10446.772727272728,9095.22456557662,91.15,90.50454545454545,5.025693723516924,85.9,84.41363636363639,8.27976854142476,10.0,15.818181818181818,15.813304716617777,34.5,52.31818181818182,49.32534011529143,9.0,16.272727272727273,15.919983902186818,1.5,2.8636363636363638,3.616041699947275,23.0,35.95454545454545,30.34009962115558,2.25,2.409545454545454,1.387342362637583,3.0,4.409090909090909,5.058317910786163,0.24,0.27681818181818185,0.3037603435610816,18.5,23.045454545454547,19.816965489502202,11.5,13.5,12.046536747922516,20.0,19.727272727272727,13.99721679199397,10.5,9.772727272727273,6.872525135028735,10.0,12.454545454545455,10.495927884875266,1.5,4.0,6.590035768383312,7.5,8.454545454545455,6.829399141995776,6.0,8.818181818181818,8.261421321484715,724.0,906.3636363636364,625.9278480748967,23.0,69.72727272727273,155.32214812115396,113.5,230.63636363636363,306.32981688036296,265.5,391.8181818181818,357.76976320421977,223.5,290.90909090909093,215.68714315634054,34.5,48.40909090909091,44.480770688455486,22.0,28.863636363636363,28.148070143685743,378.5,526.9545454545455,374.4847224644917,1155.5,1486.4545454545455,1016.700486273061,17.0,19.636363636363637,15.98077849747256,4.0,10.863636363636363,13.54110305187402,15.0,18.363636363636363,14.539094930059482,12.5,14.727272727272727,12.630959011141062,500.5,630.9090909090909,449.47778260585585,14.0,16.136363636363637,10.767214144471188,16.5,15.590909090909092,11.454502507993427,1.5,3.3181818181818183,3.708245171382584,11.0,30.454545454545453,40.80350973784495,46.5,54.68181818181818,37.45776842771624,10.0,19.0,19.542383731386558,15.5,18.181818181818183,17.47824869628469
2,Aston Villa,19.5,18.285714285714285,9.706268088799124,9.5,12.964285714285714,10.989834167377369,969.0,1164.642857142857,884.1251467593686,1.0,1.8214285714285714,3.289191856487406,0.0,1.4642857142857142,2.364586611073877,2.0,2.3214285714285716,2.1439591522603334,0.0,0.07142857142857142,0.262265264156481,0.8,1.857142857142857,2.945986418644183,0.45,1.3607142857142858,1.880964938676184,16.0,22.571428571428573,22.506671556457757,34.0,42.035714285714285,45.33944578306338,20.0,41.642857142857146,49.78488115416559,0.045,0.17214285714285713,0.2919964122414944,0.0,0.09,0.12581585603424408,0.08499999999999999,0.1867857142857143,0.2387630713339151,0.06,0.09535714285714288,0.11170338178696965,0.20500000000000002,0.4635714285714286,0.6410825005307605,389.0,466.92857142857144,402.954636595038,82.15,81.28928571428571,7.163298396363502,5512.5,7966.5,7478.93977186012,91.45,89.95,5.628136985355449,86.35,86.45357142857144,7.692973327936257,6.0,11.571428571428571,14.304696383507713,21.5,36.32142857142857,44.5463167795536,7.5,10.142857142857142,12.14332398729102,0.0,1.7857142857142858,3.5103776609862547,20.0,27.464285714285715,28.455920613985025,1.825,2.1610714285714283,1.4932994522091858,2.0,3.3214285714285716,3.7123774096589415,0.18,0.2425,0.22584204575240108,10.0,20.464285714285715,19.842868189589378,6.0,11.714285714285714,12.014981829357394,10.5,17.142857142857142,18.06923779514107,5.0,7.428571428571429,7.861903319777203,9.5,10.464285714285714,8.724092408943656,2.5,3.4285714285714284,4.077295503681163,5.5,7.035714285714286,6.094819554082418,5.0,7.785714285714286,8.07995756707387,645.0,685.6428571428571,541.1880767270602,28.5,81.07142857142857,178.29790480300898,127.5,228.35714285714286,279.29490776354214,233.0,294.17857142857144,285.6991494006483,113.0,169.96428571428572,163.30872425559332,18.0,30.107142857142858,36.69629034204581,16.0,23.0,28.604583937233244,383.0,389.75,301.5839205115404,1031.0,1123.75,882.1661733525082,12.5,14.25,12.615760278612122,2.0,6.857142857142857,10.287404329114699,7.0,15.678571428571429,19.828997792101177,7.5,12.0,14.674240468703426,472.0,458.39285714285717,365.5756839394965,8.5,12.964285714285714,13.019876949003619,8.5,15.5,16.609903337734657,1.0,1.7142857142857142,2.462415899780552,4.5,19.071428571428573,33.375449583797895,37.5,44.357142857142854,34.85229604606474,8.0,11.678571428571429,11.492521147600396,8.5,13.142857142857142,13.467971019654126
3,Bournemouth,24.0,21.0,9.496410805236797,16.0,15.73913043478261,11.013286980669172,1530.0,1409.6521739130435,946.7328320788122,1.0,2.217391304347826,3.4106320627112034,1.0,1.608695652173913,2.0167284586402126,3.0,3.608695652173913,2.965546560612741,0.0,0.043478260869565216,0.2085144140570748,1.0,2.617391304347826,3.470217726194378,1.1,1.7565217391304346,1.8300089634545815,19.0,28.47826086956522,33.227685013906694,41.0,56.82608695652174,50.939047510380696,31.0,56.0,69.68891916614473,0.03,0.13565217391304346,0.18322430582501678,0.04,0.10173913043478262,0.11953136423371534,0.08,0.18478260869565216,0.20471420355788683,0.1,0.13043478260869562,0.14898072666286752,0.16,0.5543478260869564,0.6596543591289203,415.0,478.7391304347826,387.9912390518988,74.1,73.92608695652174,6.721486401581149,6761.0,8706.608695652174,7498.847103747047,88.0,86.81739130434782,7.304584623490862,78.8,81.45652173913045,10.777452308447927,11.0,17.130434782608695,16.147908245697412,35.0,46.78260869565217,46.55295764624036,6.0,12.73913043478261,13.525119361948002,2.0,3.782608695652174,5.213239454758262,28.0,39.52173913043478,35.50143347325748,2.35,2.62,1.8788971620220585,2.0,3.782608695652174,4.010854836782195,0.22,0.23043478260869568,0.20857695900095716,21.0,27.08695652173913,22.797354398897536,10.0,15.73913043478261,14.203768358190109,23.0,24.26086956521739,20.684243874602515,12.0,12.73913043478261,10.309824931519307,14.0,17.347826086956523,15.581482878585472,2.0,5.043478260869565,6.643371685505684,8.0,12.304347826086957,11.810760819957581,8.0,13.521739130434783,15.069142357261054,778.0,809.2173913043479,595.094641558019,41.0,84.26086956521739,140.8623497639723,148.0,242.7826086956522,263.0634138070029,285.0,346.17391304347825,307.4479486136139,118.0,230.34782608695653,229.3121351694419,19.0,38.56521739130435,47.16010070827064,16.0,25.91304347826087,31.023324133886838,455.0,435.4782608695652,324.9932684009453,1059.0,1362.304347826087,1226.9710093182764,15.0,19.73913043478261,19.21461894047519,1.0,8.91304347826087,15.828377977768746,17.0,22.17391304347826,20.13511670940066,8.0,13.434782608695652,16.527734506130546,406.0,473.82608695652175,350.7951554778363,15.0,19.347826086956523,17.458024192206064,10.0,14.826086956521738,13.12752893008721,0.0,2.652173913043478,4.848698941254747,10.0,31.565217391304348,39.505840864998596,55.0,69.91304347826087,55.65389232771861,20.0,22.304347826086957,20.33455362544861,22.0,23.608695652173914,20.198422824195468
4,Brentford,26.0,22.238095238095237,10.839302384862053,21.0,17.285714285714285,12.625937023218741,1913.0,1547.6666666666667,1066.3490204118598,0.0,2.6666666666666665,5.11207720338155,1.0,1.7619047619047619,2.447544931247676,2.0,2.2857142857142856,1.5856499343441837,0.0,0.047619047619047616,0.21821789023599242,0.8,2.419047619047619,3.832834336051983,1.2,1.7428571428571429,2.202628300138593,12.0,24.523809523809526,31.264387164342512,51.0,56.142857142857146,52.47979202920465,27.0,55.42857142857143,73.66652661051111,0.0,0.11142857142857145,0.18738424998611047,0.06,0.08190476190476192,0.09877343001126607,0.06,0.11809523809523811,0.15686360468952149,0.08,0.09380952380952381,0.08169921605965326,0.17,0.31380952380952387,0.373543520763996,471.0,553.8095238095239,426.3283498722105,77.2,76.54761904761905,7.969605953095739,7524.0,10157.238095238095,8974.729276723405,87.0,86.40952380952383,7.96045882860434,79.9,82.03333333333333,9.970122032018132,8.0,13.619047619047619,16.7405979298118,41.0,45.857142857142854,38.52049547226218,7.0,13.571428571428571,17.864969713300464,2.0,3.7142857142857144,5.0412583463145095,21.0,32.285714285714285,34.527008062012634,1.72,1.8771428571428572,1.1752027180752385,2.0,4.619047619047619,5.696281159460009,0.2,0.26571428571428574,0.24904962213525697,24.0,25.952380952380953,21.287264245262218,16.0,15.523809523809524,12.460413506858622,24.0,24.285714285714285,19.591178772965286,10.0,11.285714285714286,9.930472582625951,17.0,19.952380952380953,18.334328977293364,4.0,8.19047619047619,12.131030655385583,12.0,11.761904761904763,9.74630577144367,8.0,12.238095238095237,11.911778884384825,761.0,888.952380952381,638.9866568395992,47.0,138.47619047619048,274.6720988829443,216.0,348.6190476190476,401.5037330076118,328.0,329.85714285714283,263.7939130674333,158.0,218.57142857142858,222.82763998852823,24.0,40.80952380952381,44.23304087174999,12.0,25.761904761904763,32.41435601998713,381.0,468.95238095238096,344.6748433220034,1160.0,1292.952380952381,1085.654709205025,9.0,15.142857142857142,18.31197890531145,1.0,8.619047619047619,16.67475993972984,14.0,21.238095238095237,23.86399958494963,8.0,11.952380952380953,12.87041642867934,474.0,545.6190476190476,392.22843805497786,11.0,12.428571428571429,10.107281674967947,10.0,14.19047619047619,13.555880818371957,1.0,2.9523809523809526,4.477456761111049,13.0,27.952380952380953,42.92374190407471,50.0,67.33333333333333,53.943797913507474,12.0,26.0,29.816103031751148,14.0,23.095238095238095,23.08225457338334
5,Brighton,19.5,18.428571428571427,9.50800275568515,9.0,12.964285714285714,9.720090469237348,864.5,1163.107142857143,848.8878711142407,1.0,1.8214285714285714,2.8810179711804214,1.0,1.1785714285714286,1.540888907202146,2.0,2.5714285714285716,2.5155600426231786,0.0,0.10714285714285714,0.314970394174356,0.6,1.8321428571428575,2.5779770380020084,0.75,1.2464285714285717,1.3953579503209237,16.0,24.75,29.23547439264434,36.5,47.17857142857143,48.277786910697436,27.0,46.892857142857146,60.77483597534993,0.035,0.12107142857142858,0.1517878462346385,0.035,0.07857142857142856,0.09830844452309406,0.08,0.13035714285714287,0.12294178516551049,0.09,0.10321428571428572,0.07703070919269898,0.27,0.4439285714285714,0.6539302221565658,323.0,489.2857142857143,464.323311461031,80.55,79.44642857142857,8.18401704058801,4671.5,8351.32142857143,8889.49639474118,90.85,89.54642857142856,6.173568638595487,82.2,81.72142857142856,9.822964670639662,8.5,11.285714285714286,9.801198501381965,19.5,36.82142857142857,47.30284900309414,7.0,10.464285714285714,10.170699174251576,1.0,2.7857142857142856,3.735288603626359,22.0,28.571428571428573,23.20349362492891,2.635,2.5435714285714286,1.3438094394384232,3.0,3.25,2.939198681424733,0.25,0.29714285714285715,0.34210521603152855,16.0,21.25,18.420248520461268,9.5,12.821428571428571,11.132380436361945,17.5,21.642857142857142,17.901405460474816,9.0,11.142857142857142,8.847323452611658,11.5,13.607142857142858,11.917429767996632,2.0,3.7857142857142856,5.216477759143636,8.5,9.821428571428571,9.7336893824854,8.5,9.821428571428571,9.420441019119487,583.0,733.2142857142857,595.7636467184975,22.5,80.75,186.0628378522418,117.5,235.60714285714286,312.3202700085299,227.0,319.07142857142856,310.1578962962585,135.5,186.78571428571428,173.4327401153408,15.0,32.67857142857143,41.015853819593524,12.0,25.785714285714285,31.37155723222236,340.0,426.7857142857143,372.18547319183006,941.5,1285.5,1398.2923580276474,15.0,17.357142857142858,18.196894903443944,2.0,7.678571428571429,14.15798053037271,10.0,17.857142857142858,18.70574141553234,7.0,11.0,11.84780023339229,387.5,483.5357142857143,410.3403720077649,9.5,13.821428571428571,12.147408110766833,7.5,13.035714285714286,14.48238302177573,1.0,1.2857142857142858,1.7608319342086856,10.0,21.035714285714285,25.58860009899829,38.0,50.67857142857143,42.27516000489121,11.5,16.464285714285715,17.493876479663225,10.5,14.535714285714286,14.286699701463188
6,Chelsea,19.0,18.52,10.120606042459448,13.0,14.08,10.479821881437998,1172.0,1260.32,917.4276411067342,1.0,2.16,3.4360830412937733,1.0,1.64,2.079262689833426,3.0,3.6,3.068658773253661,0.0,0.04,0.2,0.7,2.464,3.9975909412211412,1.1,1.8799999999999997,2.289650628371062,12.0,29.12,36.45353206480821,32.0,54.88,58.456051868048704,11.0,53.56,70.2567197260637,0.03,0.1192,0.14985882245188858,0.06,0.10640000000000001,0.10961599639955232,0.08,0.1592,0.18670207997413063,0.09,0.1392,0.14387262885390442,0.25,0.43560000000000004,0.49378706611926027,420.0,622.24,540.1581003126153,84.9,84.148,6.627287026629625,7109.0,10755.88,9693.800296753247,92.2,91.024,5.787434664857999,91.2,88.68799999999999,7.428846927125815,6.0,16.08,20.35706265648362,26.0,51.84,54.70045703648187,5.0,12.16,15.807909412695912,0.0,2.56,4.865524980239371,15.0,37.32,44.26785891968725,1.74,2.2324,1.6217795781178157,2.0,3.8,4.213074886588179,0.18,0.22759999999999997,0.21354702838797204,12.0,19.44,21.899543374234995,8.0,12.24,13.417277418810915,12.0,18.48,20.62991355612847,6.0,9.32,10.979981785048645,9.0,11.96,12.377668062549853,1.0,3.52,5.213124462994018,6.0,8.44,9.115371632577578,7.0,9.2,10.157099323461727,703.0,863.12,699.3521001612851,19.0,80.12,165.8061920838101,120.0,259.0,306.6641757145211,239.0,387.76,381.1524498150314,118.0,223.28,241.40828486197407,12.0,38.88,48.10866172877119,13.0,26.36,31.26083812056228,360.0,498.44,383.0762630773842,1204.0,1407.36,1071.877203787822,11.0,16.84,17.99925924401705,1.0,10.68,19.48229965892117,6.0,15.32,17.32224003990246,5.0,10.32,10.919096421713048,442.0,617.0,493.7607382798542,8.0,14.8,14.82958754202782,11.0,15.16,15.563525735942141,1.0,2.12,3.7674040576149155,3.0,22.44,37.2335869880945,38.0,52.36,46.10303677633394,8.0,13.68,15.858015848985227,9.0,13.52,13.711673858431727
7,Crystal Palace,28.0,22.714285714285715,9.793583905511083,18.0,17.19047619047619,12.23772465623838,1562.0,1539.2857142857142,1022.7040208612237,0.0,1.7619047619047619,3.160771454957822,1.0,1.4761904761904763,2.0885173597326796,2.0,3.4285714285714284,3.295017884191656,0.0,0.19047619047619047,0.40237390808147827,1.0,2.3523809523809525,3.259696158788277,1.2,1.8047619047619048,2.020513843178559,11.0,20.61904761904762,21.27551689260731,45.0,47.57142857142857,37.678337846263105,10.0,47.095238095238095,61.06300415300967,0.0,0.08619047619047619,0.12947880870923206,0.03,0.060952380952380945,0.08172544046407838,0.08,0.1380952380952381,0.13673401360374993,0.11,0.10238095238095238,0.07395300953340317,0.34,0.5000000000000001,0.47234521274169805,479.0,490.2857142857143,369.8098353014889,75.4,74.13333333333333,6.948620966302114,7616.0,8794.857142857143,7188.500833175957,85.0,84.44761904761906,6.444115070947993,81.9,79.94761904761904,10.469317983881234,9.0,15.047619047619047,15.058141287941849,27.0,36.666666666666664,30.565230791429226,4.0,11.0,11.606032913963324,1.0,2.7142857142857144,3.964124835860459,26.0,35.04761904761905,32.83363548326044,2.0,2.204761904761905,1.4987148462853734,3.0,3.380952380952381,3.1380916251153415,0.16,0.17380952380952383,0.16372159877292278,21.0,31.857142857142858,28.59770220539705,13.0,18.666666666666668,17.689921801221544,23.0,27.523809523809526,21.20523295702985,14.0,13.857142857142858,9.691675367477567,17.0,20.047619047619047,17.448427409013657,3.0,5.761904761904762,6.752071992394349,13.0,14.285714285714286,12.442438897349898,11.0,13.285714285714286,13.546744469217899,795.0,838.952380952381,586.6166956531732,27.0,104.95238095238095,206.99431784241713,168.0,314.9047619047619,348.80379940045157,365.0,348.57142857142856,256.438798045181,132.0,183.47619047619048,173.75460254267193,15.0,31.38095238095238,33.45216912320663,12.0,19.904761904761905,27.962304557930775,396.0,418.42857142857144,295.01636758467674,897.0,1028.2380952380952,753.2046139504129,10.0,14.619047619047619,13.384603806150523,1.0,5.095238095238095,7.245031137992175,13.0,20.523809523809526,20.350968152938197,12.0,14.19047619047619,14.116015895496318,498.0,485.76190476190476,331.33546516512604,12.0,17.333333333333332,15.761768090329632,18.0,17.047619047619047,14.7427141004504,1.0,3.0952380952380953,4.918381460447756,9.0,24.476190476190474,30.393451675680154,59.0,69.23809523809524,51.41488574518547,16.0,21.238095238095237,21.205906634484556,19.0,27.095238095238095,24.663545491078047
8,Fulham,24.0,22.40909090909091,8.835313834990275,16.5,15.954545454545455,10.665821124495773,1564.0,1433.8181818181818,892.10668998744,0.5,2.090909090909091,3.100062839748512,1.0,1.7727272727272727,2.428635089565412,2.0,3.090909090909091,2.9262212087896846,0.0,0.09090909090909091,0.29424494316824984,0.95,1.9500000000000002,2.5408566234544563,0.75,1.5,1.771466973470078,20.5,30.0,33.8498083275153,46.0,59.31818181818182,45.97554874333837,29.5,58.40909090909091,68.39079518327642,0.015,0.18136363636363637,0.28989810121990983,0.09,0.105,0.11346281119296105,0.07,0.15227272727272728,0.16647413121454144,0.09,0.09954545454545455,0.0784660844373313,0.275,0.5809090909090909,0.6798032564885722,594.0,623.9545454545455,469.0520813069216,81.69999999999999,80.34545454545456,7.7859903044921035,10175.0,11152.318181818182,9135.518305135358,90.6,88.37272727272727,6.7055898372130605,85.15,84.87272727272727,8.811312091806803,9.0,14.909090909090908,16.053212379633795,44.5,51.77272727272727,44.3255616011282,6.0,12.409090909090908,17.82630237253526,1.0,3.772727272727273,6.472887176389559,25.0,35.0,30.545828177471616,2.24,2.480909090909091,1.6517232245111801,2.0,3.8636363636363638,4.155265787676375,0.185,0.23499999999999996,0.20740459654179957,23.0,25.727272727272727,21.54990181876169,12.0,15.590909090909092,13.696225030517718,17.5,21.772727272727273,19.544654166638672,7.5,10.590909090909092,10.504688707833507,14.0,14.227272727272727,10.533085371622478,2.0,4.181818181818182,5.341984325772263,9.5,10.045454545454545,7.876893711702256,8.5,12.136363636363637,13.249601807297758,892.0,920.0454545454545,639.8337192675049,25.0,100.0909090909091,216.1126049277506,149.5,307.54545454545456,364.3385039417951,366.0,384.22727272727275,301.67468000167423,201.0,237.86363636363637,213.61097159590656,25.5,35.54545454545455,35.40611633027652,17.5,25.045454545454547,25.406180861633374,498.0,543.7272727272727,386.5829772098072,1170.5,1444.0,1153.8192480379485,15.5,20.636363636363637,21.63670922638621,3.5,8.727272727272727,10.881096838015383,14.5,19.318181818181817,16.85621649813607,7.0,11.045454545454545,11.298871720862316,605.5,617.6818181818181,424.239643234546,15.0,16.045454545454547,12.411504926698234,13.0,13.954545454545455,10.594146059778993,0.0,1.6363636363636365,3.0479572323186055,14.5,33.27272727272727,46.673314306981325,52.0,61.90909090909091,42.00556549396202,13.5,20.59090909090909,20.698882166525877,17.0,20.636363636363637,19.819532103807415
9,Ipswich Town,17.5,16.633333333333333,8.397386019114698,9.5,11.733333333333333,9.149838262498688,943.0,1051.5333333333333,754.796557807573,0.0,1.0666666666666667,2.2884015402012388,0.0,0.8,1.0635010497214474,2.0,2.7,2.365703219792781,0.0,0.1,0.30512857662936466,0.55,1.0233333333333332,1.7044937226562944,0.4,0.6933333333333332,0.9533727184212295,7.5,14.2,17.644770642728194,19.5,26.433333333333334,24.669796322116497,14.5,26.066666666666666,34.8097621398062,0.0,0.09000000000000001,0.14593338111665174,0.0,0.07600000000000001,0.12609793676017234,0.045,0.09566666666666665,0.11646172475682012,0.035,0.060333333333333336,0.06321737721235511,0.09,0.31299999999999994,0.4079819975744366,195.5,324.8,294.2495305126188,75.2,75.09666666666665,8.329444379918801,4099.5,5771.666666666667,5311.512261658361,87.0,87.10666666666665,7.0080216763429,84.5,81.34333333333333,11.795284953168226,4.5,7.833333333333333,10.828071224220018,16.5,24.666666666666668,27.125930250482153,3.5,4.633333333333334,5.91015101816115,0.0,1.4,2.7618085029372605,11.5,18.2,20.442349551174733,1.395,1.5910000000000002,1.269833956020262,1.0,1.7333333333333334,2.0160277319749236,0.1,0.14833333333333334,0.18442984524228165,11.5,16.866666666666667,15.316732642785624,7.0,9.566666666666666,8.692776760971833,12.0,17.533333333333335,16.181584538014796,6.5,9.333333333333334,9.39307644265026,8.0,12.166666666666666,12.849482300945,2.0,5.133333333333334,8.865793751863096,5.0,7.033333333333333,7.256309185013118,5.0,9.1,9.177746699640311,369.0,539.6333333333333,442.55835253929945,24.5,83.83333333333333,124.60450075818049,105.5,217.93333333333334,234.74842489036163,141.5,213.9,203.00133344219773,100.0,113.63333333333334,119.77060929366067,11.5,16.866666666666667,20.575736184647923,7.0,17.4,25.390196316009792,205.5,268.3333333333333,213.54549435874205,544.5,727.2333333333333,589.801175343676,6.5,9.433333333333334,10.510038988520922,1.5,4.266666666666667,7.413563214826585,11.0,15.633333333333333,19.7300459361776,5.0,9.9,13.64664920347697,236.5,321.7,268.7693729986156,8.0,12.266666666666667,13.982583583807425,7.5,11.333333333333334,11.167481527997301,0.5,1.4666666666666666,2.7759227522459593,5.5,14.4,28.5579869859494,33.5,41.166666666666664,33.78234933270304,7.0,15.433333333333334,20.77744687998443,12.0,15.3,16.362594010688547
