                       data-stat                      1st highest                  2nd highest                  3rd highest                 1st lowest                      2nd lowest                   3rd lowest
0                          games                  Alex Iwobi - 33        Antonee Robinson - 33              Bernd Leno - 33           Ayden Heaven - 2                 Ben Godfrey - 2            Billy Gilmour - 2
1                   games_starts                  Bernd Leno - 33         Bruno Guimarães - 33            Bryan Mbeumo - 33          Ali Al Hamadi - 0                      Antony - 0             Ben Chilwell - 0
2                        minutes                Bernd Leno - 2970            David Raya - 2970        Dean Henderson - 2970         Harrison Reed - 93               Ayden Heaven - 95    Jahmai Simpson-Pusey - 96
3                          goals               Mohamed Salah - 27          Alexander Isak - 21          Erling Haaland - 21        Aaron Cresswell - 0              Aaron Ramsdale - 0       Abdukodir Khusanov - 0
4                        assists               Mohamed Salah - 18            Jacob Murphy - 11        Antonee Robinson - 10        Aaron Cresswell - 0              Aaron Ramsdale - 0       Abdukodir Khusanov - 0
5                   cards_yellow                  Saša Lukić - 12             Will Hughes - 11            Flynn Downes - 10  Abdul Fatawu Issahaku - 0                Adam Webster - 0          Albert Grønbaek - 0
6                      cards_red              Bruno Fernandes - 2            Jack Stephens - 2       Myles Lewis-Skelly - 2        Aaron Cresswell - 0              Aaron Ramsdale - 0        Aaron Wan-Bissaka - 0
7                             xg             Mohamed Salah - 23.7        Erling Haaland - 20.8        Alexander Isak - 17.5       Aaron Ramsdale - 0.0        Abdukodir Khusanov - 0.0           Adam Webster - 0.0
8                      xg_assist             Mohamed Salah - 12.3            Cole Palmer - 9.3          Son Heung-min - 8.2       Aaron Ramsdale - 0.0           Albert Grønbaek - 0.0          Alex McCarthy - 0.0
9            progressive_carries                Jeremy Doku - 172          Mohamed Salah - 137           Kaoru Mitoma - 136         Aaron Ramsdale - 0               Alex McCarthy - 0              Alex Palmer - 0
10            progressive_passes            Bruno Fernandes - 264         Joško Gvardiol - 231        Bruno Guimarães - 227         Aaron Ramsdale - 0               Alex McCarthy - 0                  Alisson - 0
11   progressive_passes_received              Mohamed Salah - 407           Bryan Mbeumo - 300           Kaoru Mitoma - 274         Aaron Ramsdale - 0               Alex McCarthy - 0              Alex Palmer - 0
