,team,median of age,mean of age,std of age,median of games,mean of games,std of games,median of games_starts,mean of games_starts,std of games_starts,median of minutes,mean of minutes,std of minutes,median of goals,mean of goals,std of goals,median of assists,mean of assists,std of assists,median of cards_yellow,mean of cards_yellow,std of cards_yellow,median of cards_red,mean of cards_red,std of cards_red,median of xg,mean of xg,std of xg,median of xg_assist,mean of xg_assist,std of xg_assist,median of progressive_carries,mean of progressive_carries,std of progressive_carries,median of progressive_passes,mean of progressive_passes,std of progressive_passes,median of progressive_passes_received,mean of progressive_passes_received,std of progressive_passes_received,median of goals_per90,mean of goals_per90,std of goals_per90,median of assists_per90,mean of assists_per90,std of assists_per90,median of xg_per90,mean of xg_per90,std of xg_per90,median of xg_assist_per90,mean of xg_assist_per90,std of xg_assist_per90,median of gk_goals_against_per90,mean of gk_goals_against_per90,std of gk_goals_against_per90,median of gk_save_pct,mean of gk_save_pct,std of gk_save_pct,median of gk_clean_sheets_pct,mean of gk_clean_sheets_pct,std of gk_clean_sheets_pct,median of gk_pens_save_pct,mean of gk_pens_save_pct,std of gk_pens_save_pct,median of shots_on_target_pct,mean of shots_on_target_pct,std of shots_on_target_pct,median of shots_on_target_per90,mean of shots_on_target_per90,std of shots_on_target_per90,median of goals_per_shot,mean of goals_per_shot,std of goals_per_shot,median of average_shot_distance,mean of average_shot_distance,std of average_shot_distance,median of passes_completed,mean of passes_completed,std of passes_completed,median of passes_pct,mean of passes_pct,std of passes_pct,median of passes_total_distance,mean of passes_total_distance,std of passes_total_distance,median of passes_pct_short,mean of passes_pct_short,std of passes_pct_short,median of passes_pct_medium,mean of passes_pct_medium,std of passes_pct_medium,median of passes_pct_long,mean of passes_pct_long,std of passes_pct_long,median of assisted_shots,mean of assisted_shots,std of assisted_shots,median of passes_into_final_third,mean of passes_into_final_third,std of passes_into_final_third,median of passes_into_penalty_area,mean of passes_into_penalty_area,std of passes_into_penalty_area,median of crosses_into_penalty_area,mean of crosses_into_penalty_area,std of crosses_into_penalty_area,median of sca,mean of sca,std of sca,median of sca_per90,mean of sca_per90,std of sca_per90,median of gca,mean of gca,std of gca,median of gca_per90,mean of gca_per90,std of gca_per90,median of tackles,mean of tackles,std of tackles,median of tackles_won,mean of tackles_won,std of tackles_won,median of challenges,mean of challenges,std of challenges,median of challenges_lost,mean of challenges_lost,std of challenges_lost,median of blocks,mean of blocks,std of blocks,median of blocked_shots,mean of blocked_shots,std of blocked_shots,median of blocked_passes,mean of blocked_passes,std of blocked_passes,median of interceptions,mean of interceptions,std of interceptions,median of touches,mean of touches,std of touches,median of touches_def_pen_area,mean of touches_def_pen_area,std of touches_def_pen_area,median of touches_def_3rd,mean of touches_def_3rd,std of touches_def_3rd,median of touches_mid_3rd,mean of touches_mid_3rd,std of touches_mid_3rd,median of touches_att_3rd,mean of touches_att_3rd,std of touches_att_3rd,median of touches_att_pen_area,mean of touches_att_pen_area,std of touches_att_pen_area,median of take_ons,mean of take_ons,std of take_ons,median of take_ons_won_pct,mean of take_ons_won_pct,std of take_ons_won_pct,median of take_ons_tackled_pct,mean of take_ons_tackled_pct,std of take_ons_tackled_pct,median of carries,mean of carries,std of carries,median of carries_progressive_distance,mean of carries_progressive_distance,std of carries_progressive_distance,median of carries_into_final_third,mean of carries_into_final_third,std of carries_into_final_third,median of carries_into_penalty_area,mean of carries_into_penalty_area,std of carries_into_penalty_area,median of miscontrols,mean of miscontrols,std of miscontrols,median of dispossessed,mean of dispossessed,std of dispossessed,median of passes_received,mean of passes_received,std of passes_received,median of fouls,mean of fouls,std of fouls,median of fouled,mean of fouled,std of fouled,median of offsides,mean of offsides,std of offsides,median of crosses,mean of crosses,std of crosses,median of ball_recoveries,mean of ball_recoveries,std of ball_recoveries,median of aerials_won,mean of aerials_won,std of aerials_won,median of aerials_lost,mean of aerials_lost,std of aerials_lost,median of aerials_won_pct,mean of aerials_won_pct,std of aerials_won_pct
0,All,26.568,26.924,4.237,22.0,20.884,9.66,14.5,15.322,10.713,1347.5,1374.331,904.935,1.0,1.996,3.514,1.0,1.49,2.214,2.0,2.946,2.6,0.0,0.093,0.311,0.85,2.024,3.076,0.9,1.499,1.861,14.5,26.126,30.426,37.5,51.494,49.63,24.0,50.837,63.639,0.03,0.12,0.187,0.04,0.09,0.125,0.07,0.133,0.161,0.07,0.098,0.102,1.47,1.64,0.653,68.3,67.167,8.303,18.8,23.954,22.638,0.0,18.535,29.762,30.2,29.461,20.011,0.23,0.401,0.472,0.06,0.077,0.099,16.3,16.793,5.113,452.0,552.502,455.163,80.15,79.251,8.268,7294.5,9495.052,8243.112,89.8,88.716,6.794,85.7,83.952,10.223,54.0,54.309,15.762,8.0,13.649,15.292,28.5,43.184,44.616,6.0,11.632,14.309,1.0,2.754,4.276,21.0,31.965,32.027,1.83,2.096,1.435,2.0,3.494,4.202,0.16,0.216,0.225,17.0,24.587,22.407,10.0,14.68,13.773,17.0,22.378,20.172,8.0,10.996,10.302,12.0,15.221,13.627,2.0,5.169,7.302,8.0,10.052,9.288,7.0,11.165,11.672,741.5,835.312,616.654,31.0,94.541,174.759,158.0,276.709,305.25,277.0,354.742,312.665,141.0,212.105,208.689,20.0,34.597,40.865,14.0,25.335,30.988,44.8,46.675,22.581,43.4,42.159,21.737,401.5,468.659,355.727,1040.5,1302.692,1084.663,12.5,17.556,18.18,2.0,8.14,14.155,12.0,18.948,19.292,8.0,13.151,14.713,483.5,546.655,416.873,12.0,15.424,13.684,10.0,14.942,14.555,1.0,2.384,3.964,9.0,24.477,35.743,45.0,58.054,46.161,10.0,18.112,21.133,13.0,18.079,18.377,50.0,48.875,21.844
1,Arsenal,26.87,26.49,3.823,22.5,22.591,7.926,16.0,17.0,10.156,1427.5,1519.455,881.677,2.0,2.773,2.81,1.5,2.273,2.676,2.5,2.909,1.974,0.0,0.227,0.528,1.65,2.5,2.588,0.9,1.886,2.129,23.0,34.318,31.383,55.5,75.182,60.816,51.0,74.182,75.041,0.1,0.165,0.167,0.11,0.139,0.155,0.095,0.152,0.142,0.095,0.121,0.119,0.85,0.85,N/a,75.5,75.5,N/a,35.3,35.3,N/a,0.0,0.0,N/a,31.7,27.89,16.69,0.225,0.411,0.41,0.14,0.137,0.13,15.0,14.671,4.999,459.5,700.409,551.783,82.8,82.345,6.297,7044.5,11484.318,9779.36,91.95,90.873,4.759,86.0,84.873,8.049,53.15,55.545,9.682,10.0,17.136,17.313,39.5,56.955,52.283,9.0,17.864,17.817,1.5,3.0,3.625,24.0,38.818,33.092,2.245,2.459,1.428,3.0,4.909,5.485,0.25,0.296,0.31,19.0,24.091,20.328,12.0,14.273,12.33,20.0,20.773,14.165,10.5,10.318,7.167,10.0,13.182,10.839,1.5,4.318,6.792,7.5,8.864,7.272,6.0,9.273,8.647,738.5,983.773,662.528,24.0,73.591,163.872,120.5,246.182,327.214,291.0,427.955,385.052,223.5,316.909,232.448,37.0,52.5,48.601,22.5,29.727,28.687,43.45,48.877,22.218,35.05,36.918,17.634,406.5,578.182,402.19,1282.5,1631.955,1113.232,19.0,21.364,17.956,4.5,11.773,14.583,15.0,19.318,15.286,13.5,15.682,13.357,528.5,693.682,483.473,14.0,16.636,11.061,17.0,16.318,11.712,1.5,3.409,3.725,11.0,31.818,42.051,48.0,58.045,40.028,10.5,19.5,19.815,15.5,18.955,17.762,51.15,48.0,19.478
2,Aston Villa,27.626,27.131,4.036,20.0,18.857,9.966,9.5,13.357,11.324,969.0,1200.0,913.117,1.0,1.857,3.285,0.0,1.464,2.365,2.0,2.429,2.251,0.0,0.071,0.262,0.8,1.914,2.936,0.45,1.404,1.949,16.0,23.071,22.745,33.5,42.75,46.344,20.0,42.321,50.759,0.04,0.176,0.292,0.0,0.086,0.116,0.085,0.193,0.247,0.06,0.092,0.104,1.705,1.705,0.417,60.75,60.75,7.283,57.6,57.6,59.963,50.0,50.0,N/a,27.8,29.4,22.125,0.2,0.469,0.673,0.06,0.076,0.084,16.3,16.924,4.505,396.0,476.643,413.241,82.1,81.221,7.162,5626.0,8150.393,7692.953,91.5,90.032,5.555,86.2,86.471,7.559,53.4,54.125,15.291,6.0,11.75,14.544,22.0,36.714,45.312,7.5,10.25,12.376,0.0,1.821,3.672,20.0,27.929,28.946,1.78,2.117,1.412,2.0,3.357,3.754,0.18,0.236,0.217,10.5,20.964,20.084,6.0,12.107,12.236,10.5,17.679,18.437,5.0,7.714,8.059,9.5,10.643,8.895,2.5,3.5,4.132,5.5,7.143,6.223,5.0,7.964,8.284,647.0,701.071,555.682,29.5,84.571,186.692,132.0,236.214,290.885,237.5,299.036,290.765,113.5,172.75,165.813,19.0,30.964,37.198,17.0,23.429,28.676,47.4,50.678,25.081,41.2,38.785,22.994,383.5,396.429,308.035,1052.0,1149.857,912.871,12.5,14.536,12.819,2.0,7.0,10.414,8.5,16.393,21.284,7.5,12.321,15.036,472.0,467.929,374.38,8.5,13.321,13.419,8.5,15.821,17.051,1.0,1.786,2.727,4.5,19.5,33.706,37.5,45.214,35.421,8.0,12.036,11.714,9.5,13.464,13.593,47.2,40.322,23.969
3,Bournemouth,25.992,26.462,3.84,25.0,21.609,9.838,17.0,16.217,11.33,1580.0,1451.739,975.756,1.0,2.261,3.493,1.0,1.652,1.991,3.0,3.783,3.147,0.0,0.087,0.288,1.1,2.639,3.5,1.1,1.774,1.827,19.0,29.261,34.022,41.0,57.435,51.584,31.0,56.609,70.377,0.03,0.134,0.181,0.05,0.101,0.116,0.08,0.182,0.202,0.1,0.129,0.149,1.0,1.087,0.15,80.0,80.0,4.6,20.0,15.3,13.575,0.0,0.0,N/a,30.35,24.985,17.026,0.15,0.543,0.655,0.065,0.058,0.053,16.45,15.83,4.372,436.0,488.913,394.518,74.2,73.822,6.579,7088.0,8854.957,7609.613,88.0,86.804,7.181,78.2,81.37,10.782,46.9,46.665,17.735,11.0,17.435,16.256,37.0,47.348,47.008,7.0,12.957,13.656,2.0,3.913,5.265,28.0,40.13,35.785,2.35,2.6,1.869,2.0,3.87,4.026,0.22,0.23,0.205,21.0,27.478,23.126,10.0,15.913,14.406,25.0,24.87,21.024,13.0,13.13,10.494,15.0,18.478,16.525,3.0,5.565,7.083,8.0,12.913,12.58,10.0,14.0,15.3,783.0,829.087,608.269,44.0,87.478,146.082,159.0,249.652,270.361,298.0,354.174,312.716,127.0,235.522,234.762,19.0,39.13,47.777,16.0,26.435,31.65,41.25,43.015,19.271,45.1,43.085,19.189,479.0,445.13,332.013,1080.0,1396.87,1258.753,15.0,20.348,19.816,1.0,9.0,15.889,17.0,22.957,21.074,8.0,13.826,17.002,413.0,484.0,357.84,15.0,19.826,17.74,10.0,15.304,13.569,0.0,2.739,5.074,10.0,32.304,40.419,56.0,71.435,56.264,20.0,22.783,20.828,22.0,24.217,20.54,46.1,50.195,18.123
4,Brentford,24.83,26.191,3.914,27.0,22.857,11.146,21.0,17.81,12.956,1913.0,1592.333,1092.856,0.0,2.762,5.291,2.0,1.857,2.455,2.0,2.524,1.887,0.0,0.048,0.218,0.8,2.481,3.93,1.2,1.795,2.241,12.0,25.286,31.88,51.0,56.714,53.197,27.0,56.048,74.696,0.0,0.112,0.189,0.07,0.084,0.097,0.07,0.12,0.156,0.06,0.09,0.079,1.36,1.36,0.17,62.0,62.0,16.971,59.1,59.1,57.841,0.0,0.0,N/a,34.3,30.811,17.714,0.18,0.311,0.371,0.05,0.077,0.085,15.3,15.989,4.267,483.0,565.81,435.586,77.2,76.443,8.036,7530.0,10385.429,9215.523,87.4,86.338,8.073,79.9,81.952,10.028,55.1,55.09,13.537,8.0,14.095,17.219,41.0,46.762,39.723,7.0,13.762,18.471,2.0,3.81,5.278,21.0,33.238,35.141,1.72,1.864,1.145,2.0,4.762,5.726,0.2,0.252,0.226,25.0,26.714,21.543,17.0,16.238,12.696,25.0,24.762,20.134,10.0,11.619,10.409,17.0,20.381,18.688,4.0,8.381,12.379,13.0,12.0,10.015,8.0,12.476,12.04,780.0,910.476,654.105,51.0,142.619,283.875,226.0,357.333,411.392,334.0,338.905,271.359,158.0,222.524,227.737,24.0,41.762,45.469,12.0,26.238,33.125,47.6,49.058,19.59,42.1,42.079,16.107,395.0,480.905,352.274,1171.0,1334.952,1119.638,10.0,15.429,18.495,1.0,9.0,17.257,14.0,22.381,25.717,8.0,12.333,13.317,484.0,557.381,400.413,12.0,12.952,10.361,10.0,14.571,14.123,1.0,2.952,4.477,13.0,28.571,44.222,50.0,69.095,54.549,12.0,26.762,31.199,14.0,23.619,23.689,55.1,53.986,19.473
5,Brighton,24.515,26.03,5.171,20.0,18.964,9.758,9.0,13.357,9.867,895.5,1198.464,866.121,1.0,1.929,2.956,1.0,1.286,1.584,2.0,2.607,2.544,0.0,0.107,0.315,0.75,1.882,2.644,0.95,1.293,1.397,16.5,25.857,29.882,38.5,48.929,49.264,26.5,48.643,62.019,0.045,0.123,0.149,0.035,0.09,0.126,0.09,0.13,0.12,0.09,0.102,0.076,1.095,1.095,0.841,69.15,69.15,8.273,34.4,34.4,22.062,0.0,0.0,N/a,29.3,30.508,21.823,0.31,0.456,0.65,0.055,0.08,0.089,16.5,17.558,3.912,333.0,506.036,475.945,80.7,79.446,8.26,4728.0,8611.857,9051.476,90.9,89.521,6.168,82.1,81.339,10.685,53.0,54.332,15.784,9.0,11.714,9.988,21.5,37.929,47.644,7.5,10.786,10.386,1.0,2.821,3.772,23.5,29.607,23.478,2.81,2.502,1.233,3.0,3.464,2.925,0.29,0.3,0.276,16.5,22.107,19.238,10.0,13.464,11.714,17.5,22.464,18.494,9.0,11.607,9.122,12.0,14.0,12.058,2.0,3.893,5.329,9.0,10.107,9.754,8.5,10.0,9.565,630.0,757.393,610.235,22.5,83.036,190.601,118.0,241.464,318.665,227.0,328.786,319.413,147.0,195.607,177.308,17.0,34.0,41.841,12.0,26.214,31.645,41.5,44.619,21.603,47.9,47.1,20.724,367.5,445.286,381.58,1026.0,1340.143,1411.698,15.5,18.321,18.441,2.5,8.286,14.772,10.0,18.357,18.912,7.0,11.143,12.027,408.0,500.286,419.446,10.5,14.071,12.25,8.0,13.357,14.502,1.0,1.429,1.794,10.0,22.179,27.225,39.0,52.107,43.578,11.5,16.714,17.755,10.5,15.0,14.404,53.8,50.17,19.869
6,Chelsea,24.288,24.078,2.347,20.0,19.68,10.762,13.0,14.8,11.431,1172.0,1328.52,997.131,1.0,2.24,3.539,1.0,1.76,2.223,3.0,3.72,3.273,0.0,0.04,0.2,0.8,2.532,4.021,1.1,1.948,2.335,13.0,31.08,39.266,34.0,58.16,62.489,12.0,57.96,75.207,0.03,0.142,0.209,0.07,0.138,0.186,0.09,0.158,0.179,0.11,0.158,0.171,1.305,1.305,0.276,74.05,74.05,3.748,22.65,22.65,8.415,10.0,10.0,14.142,32.35,28.932,21.715,0.31,0.465,0.498,0.07,0.075,0.081,15.15,15.236,4.648,533.0,651.28,582.504,84.5,83.808,6.387,8433.0,11278.84,10458.0,91.6,90.936,5.734,90.2,88.304,7.373,57.7,56.7,18.069,7.0,16.84,21.179,28.0,54.08,58.156,5.0,13.08,17.093,0.0,2.8,5.431,15.0,39.24,46.033,1.93,2.402,1.653,3.0,4.08,4.536,0.21,0.266,0.244,12.0,20.52,23.559,9.0,12.84,14.599,12.0,19.0,22.297,6.0,9.52,11.737,9.0,12.32,13.124,2.0,3.68,5.573,6.0,8.64,9.626,7.0,9.68,11.127,759.0,905.36,755.925,20.0,84.56,177.189,133.0,269.76,329.777,267.0,407.88,410.958,125.0,235.24,256.551,12.0,41.0,50.357,13.0,28.16,33.325,42.9,43.978,17.025,40.0,40.278,22.266,401.0,526.44,418.124,1293.0,1489.08,1161.992,11.0,17.56,19.042,1.0,11.36,20.54,6.0,16.56,19.231,6.0,10.92,11.906,501.0,646.8,534.072,8.0,15.6,15.932,11.0,16.08,16.628,1.0,2.2,3.926,3.0,24.4,40.663,41.0,55.56,49.884,10.0,14.32,16.63,10.0,14.16,14.702,41.05,45.792,26.314
7,Crystal Palace,27.236,27.233,3.201,29.0,23.95,10.128,19.5,18.0,12.724,1715.5,1612.2,1067.112,0.0,1.8,3.443,1.0,1.6,2.113,2.5,3.6,3.283,0.0,0.2,0.41,1.0,2.505,3.416,1.35,1.955,2.132,12.5,21.6,22.338,52.5,49.4,39.092,11.0,50.3,63.678,0.0,0.078,0.131,0.035,0.065,0.082,0.075,0.142,0.144,0.115,0.104,0.075,1.38,1.38,N/a,66.9,66.9,N/a,29.4,29.4,N/a,50.0,50.0,N/a,31.25,29.81,18.425,0.335,0.504,0.477,0.0,0.052,0.073,18.55,18.295,5.776,516.0,512.15,390.459,75.55,73.99,7.052,8974.0,9172.4,7597.122,84.8,84.205,6.54,81.65,79.705,10.788,46.7,49.77,18.976,10.0,16.2,15.936,28.5,38.35,32.351,7.5,11.9,12.122,1.5,2.9,4.154,32.0,37.55,34.181,2.07,2.26,1.506,3.0,3.7,3.294,0.16,0.184,0.167,25.5,33.25,29.801,13.0,19.3,18.579,28.0,28.2,22.083,15.0,14.2,10.066,17.5,20.55,18.161,2.5,5.75,6.904,14.0,14.8,13.053,10.5,13.4,14.376,881.0,874.2,616.673,25.5,109.8,217.904,172.0,325.1,366.851,369.0,362.25,270.488,157.5,195.1,180.002,20.5,33.5,35.43,12.5,20.85,29.197,40.0,40.516,24.117,47.6,49.726,26.34,423.0,439.2,310.471,976.5,1074.7,782.317,13.5,15.3,13.948,1.5,5.4,7.646,15.0,21.85,20.525,14.0,14.75,14.374,514.0,508.8,348.935,12.0,18.0,16.16,18.5,17.35,15.346,1.0,3.25,5.014,12.0,26.35,31.701,63.5,71.6,53.791,14.0,21.65,22.108,19.0,27.55,25.201,43.15,40.555,18.861
8,Everton,26.524,27.965,5.032,23.5,21.727,9.166,14.5,16.955,10.558,1281.0,1520.273,893.057,1.0,1.409,1.968,1.0,0.909,1.109,3.0,3.227,2.224,0.0,0.091,0.294,1.1,1.673,1.952,1.05,1.282,1.114,12.0,19.727,19.989,36.0,41.318,34.324,23.5,40.5,39.904,0.04,0.09,0.121,0.03,0.058,0.079,0.05,0.113,0.123,0.06,0.083,0.073,1.21,1.21,N/a,71.5,71.5,N/a,29.4,29.4,N/a,100.0,100.0,N/a,35.7,32.6,23.209,0.25,0.37,0.385,0.05,0.08,0.104,17.3,17.271,5.305,412.0,453.182,330.292,73.65,74.268,7.865,7161.5,8580.318,7618.257,86.2,85.373,7.592,82.7,79.827,12.291,56.35,57.186,15.182,9.0,12.091,9.942,34.5,40.136,34.021,8.0,10.545,10.155,1.5,3.636,5.332,24.5,28.682,19.443,1.79,1.883,1.11,2.0,2.364,2.06,0.1,0.156,0.155,23.5,30.045,28.106,13.5,17.591,16.998,22.0,26.636,22.044,8.0,12.955,11.082,12.5,15.955,14.201,3.0,5.773,9.314,7.5,10.182,8.41,9.5,13.545,12.716,689.5,780.273,501.72,31.0,99.5,214.043,165.5,282.909,352.739,292.0,313.727,227.483,171.0,192.045,140.177,18.5,29.136,25.319,18.0,26.455,29.465,47.2,48.043,19.676,45.0,44.495,20.294,325.5,377.318,239.77,714.0,1012.273,794.273,11.5,14.591,11.224,2.0,5.0,6.935,12.5,20.909,19.464,11.0,15.909,13.708,404.0,448.818,269.481,15.0,17.773,13.631,13.0,15.0,12.41,1.0,3.5,6.308,7.5,27.364,35.583,55.0,61.955,46.654,10.0,24.727,28.795,14.5,22.636,22.78,50.6,48.35,18.378
9,Fulham,28.819,28.813,3.351,26.0,23.773,9.211,17.0,16.955,11.18,1596.5,1523.273,935.531,0.5,2.227,3.265,1.0,1.909,2.562,2.0,3.182,2.97,0.0,0.091,0.294,1.0,2.077,2.671,0.95,1.591,1.82,22.0,32.182,35.314,51.0,63.864,48.53,38.0,62.773,70.341,0.015,0.169,0.255,0.09,0.108,0.124,0.095,0.149,0.154,0.085,0.102,0.082,1.35,1.35,N/a,68.3,68.3,N/a,14.7,14.7,N/a,0.0,0.0,N/a,30.6,29.329,18.603,0.265,0.544,0.609,0.06,0.075,0.093,15.4,16.419,4.309,643.0,661.5,493.448,81.5,80.318,7.883,10959.5,11796.545,9638.516,90.6,88.523,6.603,84.75,84.445,9.095,56.2,58.614,12.644,9.5,16.0,16.527,44.5,54.773,46.88,7.0,13.409,18.332,2.5,4.227,6.711,30.0,37.727,31.056,2.225,2.537,1.701,3.0,4.136,4.268,0.185,0.237,0.206,23.0,27.182,21.836,12.0,16.636,14.127,18.0,22.955,19.851,8.0,11.227,10.801,14.0,15.045,10.943,2.0,4.5,6.124,9.5,10.545,8.028,8.5,12.409,13.514,950.0,975.773,670.398,26.5,106.045,229.901,154.5,327.227,387.481,379.0,401.864,314.425,204.0,257.091,222.63,32.0,38.0,37.003,18.5,26.091,26.12,44.0,43.671,18.695,41.3,37.133,14.657,526.5,578.0,409.209,1213.0,1563.955,1265.625,17.5,22.636,22.967,4.5,9.182,11.16,14.5,20.5,17.768,7.5,11.364,11.5,632.5,654.818,446.82,15.0,17.182,13.344,15.0,14.682,10.75,1.0,1.773,3.191,15.0,36.818,50.399,58.0,65.909,44.023,15.0,21.818,22.339,19.0,21.773,20.119,47.75,45.809,21.399
