,name,cluster
0,Aaron Cresswell,1
1,Aaron Ramsdale,2
2,Aaron Wan-Bissaka,0
3,Abdoulaye Doucouré,0
4,Abdukodir Khusanov,1
5,Abdul Fatawu Issahaku,3
6,Adam Armstrong,3
7,Adam Lallana,1
8,Adam Smith,0
9,Adam Webster,1
10,Adam Wharton,0
11,Adama Traoré,3
12,Albert Grønbaek,1
13,Alejandro Garnacho,3
14,Alex Iwobi,3
15,Alex McCarthy,2
16,Alex Palmer,2
17,Alex Scott,1
18,Alexander Isak,3
19,Alexis Mac Allister,0
20,Ali Al Hamadi,1
21,Alisson,2
22,Alphonse Areola,2
23,Amad Diallo,3
24,Amadou Onana,0
25,Andreas Pereira,3
26,Andrew Robertson,0
27,André,0
28,André Onana,2
29,Andrés García,1
30,Andy Irving,1
31,Anthony Elanga,3
32,Anthony Gordon,3
33,Antoine Semenyo,3
34,Antonee Robinson,0
35,Antony,1
36,Antonín Kinský,2
37,Archie Gray,0
38,Arijanet Muric,2
39,Armando Broja,1
40,Armel Bella Kotchap,1
41,Ashley Young,0
42,Axel Disasi,1
43,Axel Tuanzebe,0
44,Ayden Heaven,1
45,Bart Verbruggen,2
46,Ben Brereton,1
47,Ben Chilwell,1
48,Ben Davies,0
49,Ben Godfrey,1
50,Ben Johnson,0
51,Ben Mee,1
52,Ben White,1
53,Benoît Badiashile,1
54,Bernardo Silva,3
55,Bernd Leno,2
56,Beto,3
57,Bilal El Khannouss,3
58,Billy Gilmour,1
59,Bobby De Cordova-Reid,1
60,Boubacar Kamara,0
61,Boubakary Soumaré,0
62,Brajan Gruda,1
63,Brennan Johnson,3
64,Bruno Fernandes,3
65,Bruno Guimarães,0
66,Bryan Mbeumo,3
67,Bukayo Saka,3
68,Caleb Okoli,1
69,Callum Hudson-Odoi,3
70,Callum Wilson,1
71,Calvin Bassey,0
72,Cameron Archer,1
73,Cameron Burgess,1
74,Caoimhín Kelleher,2
75,Carlos Alcaraz,1
76,Carlos Baleba,0
77,Carlos Forbs,1
78,Carlos Soler,0
79,Casemiro,0
80,Charlie Taylor,1
81,Cheick Doucouré,1
82,Chiedozie Ogbene,1
83,Chris Richards,0
84,Chris Wood,3
85,Christian Eriksen,0
86,Christian Nørgaard,0
87,Christian Walton,2
88,Christopher Nkunku,3
89,Cody Gakpo,3
90,Cole Palmer,3
91,Conor Bradley,1
92,Conor Chaplin,1
93,Conor Coady,1
94,Conor Townsend,1
95,Craig Dawson,1
96,Cristian Romero,0
97,Crysencio Summerville,3
