,name,value predict (€1M),value (€1M)
0,Aaron Cresswell,-2.339,N/a
1,Aaron Ramsdale,11.479,18.7
2,Aaron Wan-Bissaka,37.629,26.9
3,Abdoulaye Doucouré,17.371,5.8
4,Abdukodir Khusanov,55.386,N/a
5,Abdul Fatawu Issahaku,23.97,N/a
6,Adam Armstrong,11.713,N/a
7,Adam Lallana,-22.361,N/a
8,Adam Smith,-5.224,1.5
9,Adam Webster,4.106,N/a
10,Adam Wharton,42.745,48.9
11,Adama Traoré,18.661,8.0
12,Albert Grønbaek,1.784,N/a
13,Alejandro Garnacho,69.065,60.7
14,Alex Iwobi,39.411,30.3
15,Alex McCarthy,-21.291,N/a
16,Alex Palmer,8.19,N/a
17,Alex Scott,35.036,N/a
18,Alexander Isak,83.729,120.3
19,Alexis Mac Allister,61.454,106.1
20,Ali Al Hamadi,19.235,N/a
21,Alisson,20.989,24.1
22,Alphonse Areola,12.618,11.8
23,Amad Diallo,57.275,48.5
24,Amadou Onana,46.993,62.1
25,Andreas Pereira,22.101,19.0
26,Andrew Robertson,34.898,24.0
27,André,36.241,29.8
28,André Onana,28.746,34.2
29,Andrés García,37.352,N/a
30,Andy Irving,24.412,N/a
31,Anthony Elanga,44.588,45.5
32,Anthony Gordon,61.28,49.5
33,Antoine Semenyo,51.096,47.7
34,Antonee Robinson,22.116,46.4
35,Antony,41.2,N/a
36,Antonín Kinský,36.682,N/a
37,Archie Gray,49.54,58.2
38,Arijanet Muric,16.916,10.1
39,Armando Broja,22.315,N/a
40,Armel Bella Kotchap,18.167,N/a
41,Ashley Young,-13.358,1.3
42,Axel Disasi,23.117,N/a
43,Axel Tuanzebe,7.311,4.2
44,Ayden Heaven,44.328,N/a
45,Bart Verbruggen,35.236,30.7
46,Ben Brereton,3.745,N/a
47,Ben Chilwell,4.674,N/a
48,Ben Davies,15.033,5.6
49,Ben Godfrey,7.228,N/a
50,Ben Johnson,17.027,12.6
51,Ben Mee,-22.505,N/a
52,Ben White,22.909,N/a
53,Benoît Badiashile,31.21,N/a
54,Bernardo Silva,48.557,50.0
55,Bernd Leno,0.878,13.7
56,Beto,25.744,24.4
57,Bilal El Khannouss,40.574,40.6
58,Billy Gilmour,15.813,N/a
59,Bobby De Cordova-Reid,-6.346,N/a
60,Boubacar Kamara,35.657,46.3
61,Boubakary Soumaré,22.895,15.4
62,Brajan Gruda,26.171,N/a
63,Brennan Johnson,62.924,71.3
64,Bruno Fernandes,69.131,54.8
65,Bruno Guimarães,63.905,83.2
66,Bryan Mbeumo,51.894,57.2
67,Bukayo Saka,59.643,101.3
68,Caleb Okoli,25.631,16.7
69,Callum Hudson-Odoi,43.285,30.2
70,Callum Wilson,-0.601,N/a
71,Calvin Bassey,31.408,29.9
72,Cameron Archer,28.573,18.6
73,Cameron Burgess,9.321,1.7
74,Caoimhín Kelleher,33.636,N/a
75,Carlos Alcaraz,44.793,N/a
76,Carlos Baleba,50.696,52.4
77,Carlos Forbs,25.574,N/a
78,Carlos Soler,27.251,23.4
79,Casemiro,18.786,11.6
80,Charlie Taylor,-10.649,N/a
81,Cheick Doucouré,24.874,N/a
82,Chiedozie Ogbene,0.264,N/a
83,Chris Richards,29.364,15.7
84,Chris Wood,15.011,7.8
85,Christian Eriksen,8.434,4.2
86,Christian Nørgaard,17.932,14.4
87,Christian Walton,4.422,N/a
88,Christopher Nkunku,42.716,51.7
89,Cody Gakpo,55.034,67.5
90,Cole Palmer,99.905,115.4
91,Conor Bradley,48.345,N/a
92,Conor Chaplin,11.353,N/a
93,Conor Coady,0.526,2.2
94,Conor Townsend,-9.713,N/a
95,Craig Dawson,-5.994,1.5
96,Cristian Romero,41.98,60.1
97,Crysencio Summerville,42.784,N/a
98,Curtis Jones,58.577,61.7
99,Daichi Kamada,19.061,14.6
100,Dan Burn,19.412,9.1
101,Dango Ouattara,35.711,28.5
102,Daniel Muñoz,28.996,30.9
103,Danilo,29.832,N/a
104,Danny Ings,21.244,N/a
105,Danny Ward,-3.614,N/a
106,Danny Welbeck,15.794,6.0
107,Dara O'Shea,23.953,19.5
108,Darwin Núñez,48.555,60.9
109,David Brooks,20.503,N/a
110,David Raya,23.89,28.9
