,team,median of age,mean of age,std of age,median of games,mean of games,std of games,median of games_starts,mean of games_starts,std of games_starts,median of minutes,mean of minutes,std of minutes,median of goals,mean of goals,std of goals,median of assists,mean of assists,std of assists,median of cards_yellow,mean of cards_yellow,std of cards_yellow,median of cards_red,mean of cards_red,std of cards_red,median of xg,mean of xg,std of xg,median of xg_assist,mean of xg_assist,std of xg_assist,median of progressive_carries,mean of progressive_carries,std of progressive_carries,median of progressive_passes,mean of progressive_passes,std of progressive_passes,median of progressive_passes_received,mean of progressive_passes_received,std of progressive_passes_received,median of goals_per90,mean of goals_per90,std of goals_per90,median of assists_per90,mean of assists_per90,std of assists_per90,median of xg_per90,mean of xg_per90,std of xg_per90,median of xg_assist_per90,mean of xg_assist_per90,std of xg_assist_per90,median of gk_goals_against_per90,mean of gk_goals_against_per90,std of gk_goals_against_per90,median of gk_save_pct,mean of gk_save_pct,std of gk_save_pct,median of gk_clean_sheets_pct,mean of gk_clean_sheets_pct,std of gk_clean_sheets_pct,median of gk_pens_save_pct,mean of gk_pens_save_pct,std of gk_pens_save_pct,median of shots_on_target_pct,mean of shots_on_target_pct,std of shots_on_target_pct,median of shots_on_target_per90,mean of shots_on_target_per90,std of shots_on_target_per90,median of goals_per_shot,mean of goals_per_shot,std of goals_per_shot,median of average_shot_distance,mean of average_shot_distance,std of average_shot_distance,median of passes_completed,mean of passes_completed,std of passes_completed,median of passes_pct,mean of passes_pct,std of passes_pct,median of passes_total_distance,mean of passes_total_distance,std of passes_total_distance,median of passes_pct_short,mean of passes_pct_short,std of passes_pct_short,median of passes_pct_medium,mean of passes_pct_medium,std of passes_pct_medium,median of passes_pct_long,mean of passes_pct_long,std of passes_pct_long,median of assisted_shots,mean of assisted_shots,std of assisted_shots,median of passes_into_final_third,mean of passes_into_final_third,std of passes_into_final_third,median of passes_into_penalty_area,mean of passes_into_penalty_area,std of passes_into_penalty_area,median of crosses_into_penalty_area,mean of crosses_into_penalty_area,std of crosses_into_penalty_area,median of sca,mean of sca,std of sca,median of sca_per90,mean of sca_per90,std of sca_per90,median of gca,mean of gca,std of gca,median of gca_per90,mean of gca_per90,std of gca_per90,median of tackles,mean of tackles,std of tackles,median of tackles_won,mean of tackles_won,std of tackles_won,median of challenges,mean of challenges,std of challenges,median of challenges_lost,mean of challenges_lost,std of challenges_lost,median of blocks,mean of blocks,std of blocks,median of blocked_shots,mean of blocked_shots,std of blocked_shots,median of blocked_passes,mean of blocked_passes,std of blocked_passes,median of interceptions,mean of interceptions,std of interceptions,median of touches,mean of touches,std of touches,median of touches_def_pen_area,mean of touches_def_pen_area,std of touches_def_pen_area,median of touches_def_3rd,mean of touches_def_3rd,std of touches_def_3rd,median of touches_mid_3rd,mean of touches_mid_3rd,std of touches_mid_3rd,median of touches_att_3rd,mean of touches_att_3rd,std of touches_att_3rd,median of touches_att_pen_area,mean of touches_att_pen_area,std of touches_att_pen_area,median of take_ons,mean of take_ons,std of take_ons,median of take_ons_won_pct,mean of take_ons_won_pct,std of take_ons_won_pct,median of take_ons_tackled_pct,mean of take_ons_tackled_pct,std of take_ons_tackled_pct,median of carries,mean of carries,std of carries,median of carries_progressive_distance,mean of carries_progressive_distance,std of carries_progressive_distance,median of carries_into_final_third,mean of carries_into_final_third,std of carries_into_final_third,median of carries_into_penalty_area,mean of carries_into_penalty_area,std of carries_into_penalty_area,median of miscontrols,mean of miscontrols,std of miscontrols,median of dispossessed,mean of dispossessed,std of dispossessed,median of passes_received,mean of passes_received,std of passes_received,median of fouls,mean of fouls,std of fouls,median of fouled,mean of fouled,std of fouled,median of offsides,mean of offsides,std of offsides,median of crosses,mean of crosses,std of crosses,median of ball_recoveries,mean of ball_recoveries,std of ball_recoveries,median of aerials_won,mean of aerials_won,std of aerials_won,median of aerials_lost,mean of aerials_lost,std of aerials_lost,median of aerials_won_pct,mean of aerials_won_pct,std of aerials_won_pct
0,All,26.586,26.91,4.257,23.0,21.376,9.959,15.0,15.682,10.983,1364.0,1406.579,929.371,1.0,2.035,3.57,1.0,1.52,2.23,2.0,3.018,2.646,0.0,0.092,0.31,0.9,2.062,3.143,0.9,1.526,1.9,15.0,26.62,31.224,39.0,52.528,50.732,25.0,51.84,65.127,0.03,0.119,0.182,0.04,0.09,0.123,0.07,0.132,0.16,0.07,0.096,0.101,1.485,1.689,0.74,68.15,66.3,9.702,17.9,23.528,22.359,0.0,17.848,29.402,30.0,29.414,19.931,0.22,0.395,0.466,0.06,0.077,0.098,16.3,16.733,5.079,469.0,565.329,466.887,80.2,79.246,8.301,7576.0,9719.903,8458.524,89.9,88.769,6.785,85.7,84.042,10.119,53.75,54.257,15.824,8.0,13.889,15.607,29.0,44.074,45.662,7.0,11.854,14.637,1.0,2.821,4.389,21.0,32.536,32.73,1.79,2.073,1.423,2.0,3.561,4.266,0.16,0.214,0.222,17.0,25.097,22.957,11.0,14.998,14.087,17.0,22.862,20.672,8.0,11.218,10.562,12.0,15.579,13.914,2.0,5.273,7.422,8.0,10.306,9.519,7.0,11.4,11.911,764.0,854.552,632.716,32.0,96.807,179.108,161.0,283.296,313.126,281.0,363.384,321.072,144.0,216.287,213.153,21.0,35.292,41.767,14.0,25.893,31.753,44.9,46.48,22.408,43.8,42.366,21.437,408.0,479.039,364.508,1052.0,1330.704,1112.644,13.0,17.883,18.522,2.0,8.29,14.544,13.0,19.415,19.803,8.0,13.394,14.988,493.0,559.349,427.599,12.0,15.809,14.022,10.0,15.316,15.001,1.0,2.423,4.022,9.0,24.982,36.47,46.0,59.29,47.134,10.0,18.54,21.729,13.0,18.495,18.84,50.0,48.712,21.659
1,Arsenal,26.889,26.509,3.823,23.5,23.273,8.066,16.5,17.5,10.396,1478.5,1564.455,902.976,2.0,2.818,2.805,1.5,2.318,2.75,2.5,2.909,1.974,0.0,0.227,0.528,1.65,2.564,2.641,0.9,1.932,2.188,23.0,35.318,32.697,56.5,77.0,62.443,52.0,75.955,77.488,0.105,0.163,0.164,0.105,0.137,0.15,0.1,0.153,0.142,0.09,0.12,0.117,0.89,0.89,N/a,74.1,74.1,N/a,34.3,34.3,N/a,0.0,0.0,N/a,30.9,27.862,16.678,0.22,0.409,0.41,0.14,0.137,0.13,15.0,14.643,4.969,468.5,717.682,560.335,82.95,82.323,6.266,7398.0,11757.955,9938.891,91.75,90.886,4.675,86.3,84.955,7.859,53.35,55.318,9.762,10.0,17.5,17.781,40.5,58.091,52.919,9.0,18.273,18.494,1.5,3.0,3.625,25.0,39.864,34.143,2.24,2.45,1.404,3.0,5.0,5.598,0.24,0.292,0.299,19.5,24.636,20.726,12.0,14.682,12.635,21.0,21.364,14.857,11.0,10.636,7.575,10.0,13.682,11.167,1.5,4.409,6.836,7.5,9.273,7.887,6.0,9.636,8.867,771.5,1008.955,673.684,25.0,75.818,170.013,125.0,254.455,337.026,296.0,439.0,390.887,225.0,323.091,237.024,38.5,53.773,50.361,23.5,30.591,29.146,44.65,49.268,22.443,36.4,37.405,18.057,427.0,593.273,410.16,1358.0,1677.636,1143.704,19.5,21.955,18.368,4.5,12.136,15.459,15.5,20.136,15.944,13.5,15.864,13.524,552.0,710.864,492.202,14.0,16.955,11.274,17.0,17.045,12.404,2.0,3.545,3.687,11.0,32.182,42.69,49.5,59.682,41.368,10.5,19.909,19.787,15.5,19.364,17.646,51.15,47.827,19.015
2,Aston Villa,27.645,27.151,4.036,20.5,19.429,10.333,9.5,13.75,11.661,1004.0,1235.357,943.183,1.0,1.893,3.292,0.0,1.5,2.396,2.0,2.429,2.251,0.0,0.071,0.262,0.8,1.954,2.973,0.45,1.432,2.008,16.5,23.786,23.66,34.0,44.179,48.199,21.0,43.75,51.996,0.035,0.17,0.281,0.0,0.085,0.114,0.08,0.193,0.247,0.05,0.091,0.104,1.68,1.68,0.453,61.15,61.15,7.849,58.8,58.8,58.266,50.0,50.0,N/a,27.8,29.024,21.701,0.195,0.464,0.678,0.06,0.074,0.08,16.7,16.888,4.489,402.5,491.0,427.637,81.95,81.243,7.186,5738.0,8421.571,7968.746,91.45,90.071,5.5,86.45,86.439,7.728,53.9,54.486,15.355,6.5,12.107,14.938,23.5,38.0,46.91,7.5,10.5,12.671,0.0,1.857,3.699,20.0,28.643,29.934,1.825,2.109,1.38,2.0,3.429,3.882,0.18,0.231,0.21,10.5,21.393,20.552,6.0,12.321,12.517,10.5,18.214,19.029,5.5,7.964,8.235,10.0,10.857,9.152,2.5,3.607,4.315,5.5,7.25,6.369,5.0,8.071,8.38,655.0,721.464,574.598,30.0,86.964,191.621,133.0,242.964,300.241,244.0,308.714,300.822,117.5,176.964,169.992,20.5,31.536,37.603,17.0,24.286,30.096,47.4,50.056,24.832,40.0,38.904,22.868,397.0,408.286,318.509,1086.5,1180.821,939.988,12.5,14.75,13.111,2.0,7.179,10.583,9.0,16.786,21.641,8.0,12.893,15.317,483.5,482.036,387.345,8.5,13.536,13.547,9.0,16.393,17.848,1.0,1.821,2.868,4.5,19.964,34.237,37.5,46.75,36.896,8.0,12.429,12.179,9.5,13.857,13.904,50.0,40.37,23.994
3,Bournemouth,26.011,26.481,3.84,26.0,22.217,10.18,17.0,16.696,11.632,1670.0,1494.609,1004.394,1.0,2.348,3.588,1.0,1.696,2.055,3.0,3.87,3.079,0.0,0.087,0.288,1.1,2.683,3.577,1.1,1.809,1.874,19.0,29.87,34.653,43.0,58.478,52.052,31.0,57.652,71.612,0.03,0.135,0.18,0.04,0.1,0.115,0.08,0.181,0.202,0.1,0.128,0.149,1.0,1.083,0.144,80.0,80.0,4.6,20.0,15.0,13.229,0.0,0.0,N/a,29.7,25.02,16.673,0.15,0.538,0.65,0.065,0.06,0.057,16.45,15.805,4.376,436.0,504.783,408.761,74.3,73.93,6.576,7088.0,9147.957,7897.392,88.0,86.843,7.09,78.3,81.622,10.802,47.8,46.661,17.888,11.0,17.783,16.558,37.0,48.217,47.725,7.0,13.217,13.869,2.0,4.043,5.531,28.0,40.783,36.346,2.35,2.572,1.868,2.0,3.957,4.194,0.21,0.228,0.207,21.0,27.957,23.434,10.0,16.13,14.508,25.0,25.609,21.311,13.0,13.565,10.71,16.0,18.826,16.694,3.0,5.739,7.263,8.0,13.087,12.642,10.0,14.391,15.623,783.0,852.478,626.549,44.0,90.261,153.466,159.0,257.304,280.449,316.0,365.957,322.882,133.0,239.739,238.204,19.0,39.522,48.082,16.0,27.087,32.486,41.15,43.23,19.226,45.1,42.83,19.171,483.0,458.348,342.499,1183.0,1442.087,1300.399,17.0,21.087,20.427,1.0,9.087,16.028,18.0,23.522,21.606,8.0,14.087,17.223,435.0,499.696,370.477,16.0,20.522,17.985,10.0,15.609,13.895,0.0,2.739,5.074,10.0,32.957,41.372,59.0,73.217,57.254,20.0,23.174,21.296,22.0,24.609,20.98,47.0,50.182,18.4
4,Brentford,24.849,26.21,3.914,28.0,23.524,11.383,21.0,18.333,13.298,1913.0,1638.095,1122.036,0.0,2.905,5.54,2.0,1.952,2.439,2.0,2.524,1.887,0.0,0.048,0.218,0.8,2.61,4.197,1.2,1.895,2.231,12.0,25.857,32.376,52.0,58.286,54.494,27.0,57.571,77.18,0.0,0.116,0.195,0.09,0.099,0.104,0.06,0.121,0.161,0.08,0.104,0.089,1.385,1.385,0.205,61.55,61.55,16.334,58.8,58.8,58.266,0.0,0.0,N/a,34.8,30.889,17.798,0.17,0.315,0.382,0.05,0.078,0.087,15.3,15.933,4.312,489.0,582.238,445.785,77.3,76.69,7.844,7626.0,10679.143,9438.228,87.7,86.795,7.669,79.9,82.286,9.731,55.0,54.843,13.493,9.0,14.524,17.537,42.0,48.095,40.919,7.0,14.0,18.7,2.0,3.905,5.272,21.0,34.095,35.689,1.72,1.875,1.158,2.0,5.0,5.822,0.2,0.279,0.272,25.0,27.524,22.234,17.0,16.524,12.89,26.0,25.476,20.602,11.0,11.857,10.518,17.0,21.19,19.307,4.0,8.714,12.943,13.0,12.476,10.386,8.0,12.762,12.3,804.0,937.048,669.689,52.0,145.571,290.909,232.0,366.476,421.081,348.0,349.048,279.644,160.0,230.048,234.921,24.0,43.0,47.191,13.0,27.333,33.911,46.5,48.763,19.88,42.1,42.095,16.476,410.0,493.667,361.554,1204.0,1371.571,1143.643,11.0,15.952,18.816,1.0,9.19,17.532,14.0,23.286,26.448,8.0,12.571,13.545,497.0,573.524,410.868,12.0,13.333,10.823,10.0,15.048,14.579,1.0,2.952,4.477,14.0,29.524,45.985,50.0,71.0,55.451,12.0,27.524,31.921,14.0,23.952,23.961,55.5,54.886,19.61
5,Brighton,24.534,26.049,5.171,21.0,19.536,10.035,10.0,13.75,10.127,929.5,1233.821,890.993,1.0,1.964,3.0,1.0,1.321,1.611,2.0,2.679,2.597,0.0,0.107,0.315,0.75,1.911,2.644,1.0,1.321,1.399,18.5,26.357,30.014,40.0,49.786,50.208,27.0,49.464,62.594,0.045,0.121,0.149,0.035,0.092,0.131,0.09,0.129,0.119,0.085,0.103,0.078,1.085,1.085,0.827,69.85,69.85,7.283,34.1,34.1,22.486,0.0,0.0,N/a,29.3,30.565,21.942,0.295,0.448,0.649,0.055,0.08,0.09,16.5,17.458,3.823,343.0,517.214,488.975,80.55,79.329,8.157,4862.0,8798.571,9292.458,90.3,89.529,6.111,82.1,81.264,10.622,52.55,54.046,15.594,9.5,11.893,10.064,23.0,38.643,48.633,7.5,10.929,10.509,1.0,2.857,3.817,24.0,29.964,23.638,2.81,2.47,1.22,3.0,3.536,3.012,0.285,0.298,0.275,16.5,22.643,19.762,10.0,13.821,12.092,18.0,22.857,18.714,9.0,11.714,9.161,12.0,14.429,12.258,2.0,4.0,5.45,9.5,10.429,9.95,8.5,10.357,9.945,644.5,775.75,627.334,23.5,85.679,197.215,121.5,247.393,328.129,229.0,337.5,329.735,149.0,199.464,179.511,17.0,34.571,42.028,12.5,26.679,31.833,43.8,45.53,21.195,46.2,46.422,20.503,377.0,455.5,391.566,1092.0,1366.393,1430.186,16.0,18.571,18.624,3.0,8.5,14.995,10.5,18.893,19.161,7.0,11.5,12.366,417.0,511.25,430.07,11.0,14.607,12.464,8.0,13.679,14.56,1.0,1.464,1.835,10.0,22.536,27.839,40.5,53.071,44.248,12.0,17.25,18.542,11.0,15.679,14.818,53.8,50.059,20.093
6,Chelsea,24.307,24.097,2.347,20.0,20.24,11.137,13.0,15.24,11.823,1172.0,1368.12,1030.855,1.0,2.32,3.716,1.0,1.8,2.273,3.0,3.8,3.215,0.0,0.04,0.2,0.8,2.656,4.27,1.1,2.04,2.497,13.0,32.2,41.617,37.0,59.2,63.718,12.0,59.0,76.989,0.03,0.141,0.208,0.07,0.137,0.186,0.08,0.16,0.181,0.1,0.16,0.172,1.3,1.3,0.283,73.85,73.85,3.465,22.15,22.15,7.707,10.0,10.0,14.142,33.3,28.968,21.732,0.3,0.463,0.494,0.065,0.075,0.081,15.05,15.2,4.622,568.0,664.04,594.086,84.6,83.788,6.422,8571.0,11505.28,10668.791,91.6,90.932,5.773,90.2,88.368,7.397,57.0,56.672,18.182,7.0,17.4,22.087,29.0,55.24,59.301,5.0,13.24,17.324,0.0,2.84,5.573,15.0,40.44,48.124,1.73,2.39,1.671,3.0,4.24,4.728,0.26,0.264,0.242,12.0,21.28,24.208,9.0,13.36,14.955,12.0,19.72,22.999,6.0,9.88,12.32,9.0,13.0,14.012,2.0,3.84,5.72,6.0,9.16,10.205,8.0,10.24,11.591,764.0,925.4,773.559,20.0,87.72,182.715,138.0,278.08,339.944,269.0,416.32,418.286,125.0,238.92,261.246,13.0,42.4,52.458,13.0,28.84,34.303,44.4,43.643,17.432,40.0,41.317,20.9,413.0,535.68,424.483,1304.0,1530.04,1207.67,11.0,18.0,19.399,1.0,12.04,22.008,6.0,16.96,20.045,6.0,11.08,12.196,539.0,659.48,543.382,8.0,16.0,16.24,11.0,16.52,16.936,1.0,2.44,4.7,3.0,24.64,41.139,41.0,57.56,51.76,10.0,14.64,16.807,10.0,14.32,14.792,40.3,45.85,26.324
7,Crystal Palace,27.255,27.252,3.201,30.0,24.65,10.535,20.0,18.55,13.125,1775.5,1661.7,1102.783,0.0,1.85,3.483,1.0,1.6,2.113,2.5,3.75,3.401,0.0,0.2,0.41,1.05,2.62,3.54,1.5,1.99,2.154,12.5,22.25,23.165,54.0,50.95,40.353,11.5,51.8,65.645,0.0,0.077,0.128,0.035,0.064,0.08,0.075,0.144,0.144,0.11,0.104,0.074,1.37,1.37,N/a,67.1,67.1,N/a,28.6,28.6,N/a,50.0,50.0,N/a,30.4,28.88,18.106,0.325,0.499,0.475,0.0,0.049,0.07,18.55,18.275,5.81,544.5,527.7,403.614,75.5,73.835,7.048,9503.0,9444.5,7823.253,84.4,84.07,6.548,81.0,79.555,10.731,46.7,49.895,19.067,10.5,16.75,16.402,29.5,39.3,33.036,7.5,12.45,12.87,1.5,3.15,4.464,34.0,39.0,35.792,2.055,2.27,1.513,3.0,3.8,3.412,0.165,0.182,0.165,25.5,33.8,30.557,13.0,19.8,19.365,28.0,28.6,22.589,15.0,14.3,10.136,18.5,21.15,18.48,2.5,6.0,7.056,14.5,15.15,13.176,11.0,14.0,14.818,928.0,903.05,639.42,27.0,112.9,222.923,179.0,333.3,376.038,387.0,373.9,279.786,163.0,204.4,189.932,22.5,35.45,36.939,13.0,21.85,30.593,40.0,40.926,23.915,46.5,49.442,26.132,441.5,453.1,321.274,1014.5,1116.15,815.447,13.5,15.7,14.404,1.5,5.45,7.64,16.0,22.55,21.192,14.0,15.05,14.634,538.5,524.3,361.214,12.5,18.45,16.51,19.0,18.1,16.264,1.0,3.3,5.017,12.0,27.9,33.266,68.0,73.75,55.297,14.0,22.4,22.947,19.0,28.65,26.446,43.25,40.485,18.755
8,Everton,26.544,27.984,5.032,24.0,22.409,9.287,15.0,17.455,10.649,1357.5,1565.227,904.269,1.0,1.5,2.133,1.0,1.0,1.113,3.0,3.409,2.175,0.0,0.091,0.294,1.1,1.7,2.019,1.05,1.3,1.108,12.0,20.318,20.502,40.0,43.5,35.401,24.0,42.545,40.943,0.04,0.094,0.131,0.035,0.075,0.099,0.05,0.111,0.123,0.055,0.08,0.07,1.23,1.23,N/a,71.1,71.1,N/a,28.6,28.6,N/a,100.0,100.0,N/a,35.7,32.552,23.157,0.235,0.363,0.38,0.05,0.081,0.106,17.3,17.271,5.333,428.5,473.5,339.26,74.15,74.577,7.898,7396.5,8940.727,7796.048,86.45,85.336,7.517,83.2,80.3,12.046,58.3,57.473,14.988,9.5,12.318,9.795,36.5,41.864,34.959,8.0,10.864,10.213,2.0,3.818,5.36,25.5,29.409,19.353,1.76,1.881,1.081,2.0,2.545,2.087,0.11,0.18,0.174,26.0,30.864,28.236,14.5,18.045,17.061,23.5,27.318,22.487,8.5,13.227,11.36,13.0,16.364,14.335,3.0,5.864,9.387,7.5,10.5,8.584,9.5,13.864,13.047,746.5,808.636,510.674,31.0,101.5,217.831,170.0,288.773,360.48,301.5,327.727,235.528,180.5,200.773,144.587,19.0,30.091,26.035,18.0,27.045,29.934,47.2,46.886,18.287,45.0,45.348,18.552,377.5,396.364,246.815,761.5,1053.909,818.477,11.5,15.227,11.543,2.0,5.091,7.097,12.5,21.591,20.302,11.5,16.318,14.257,439.5,468.864,275.287,15.0,18.318,13.57,14.0,15.636,12.602,1.0,3.5,6.308,8.5,28.727,36.723,56.0,63.455,47.043,11.5,25.455,29.288,15.0,23.5,23.646,50.6,48.35,19.106
9,Fulham,28.838,28.832,3.351,27.0,24.5,9.329,17.5,17.455,11.496,1620.5,1568.273,963.244,0.5,2.227,3.265,1.0,1.909,2.562,2.5,3.409,2.987,0.0,0.091,0.294,1.05,2.123,2.685,1.0,1.627,1.882,22.0,32.818,36.188,53.0,65.318,49.518,39.0,64.182,71.841,0.015,0.161,0.239,0.085,0.103,0.117,0.085,0.146,0.151,0.085,0.101,0.081,1.34,1.34,N/a,68.3,68.3,N/a,14.3,14.3,N/a,0.0,0.0,N/a,29.7,29.252,18.721,0.26,0.524,0.57,0.05,0.073,0.091,15.4,16.343,4.266,652.0,678.545,508.422,81.65,80.423,7.95,11199.0,12124.045,9949.947,90.5,88.664,6.539,85.25,84.377,9.082,58.2,59.159,12.974,10.0,16.455,16.947,44.5,56.5,48.662,8.0,13.864,18.899,2.5,4.5,7.209,30.5,38.636,31.625,2.195,2.542,1.743,3.0,4.136,4.268,0.18,0.229,0.197,23.5,28.273,23.006,12.0,17.227,14.422,19.0,23.727,20.599,8.5,11.636,11.244,14.0,15.455,11.207,2.0,4.591,6.299,11.0,10.864,8.049,8.5,12.727,13.719,976.0,1000.636,689.424,26.5,109.045,236.862,155.5,334.955,397.403,388.5,412.136,324.877,209.0,264.136,227.077,32.0,39.045,38.117,18.5,26.818,27.094,43.6,43.443,18.895,41.7,37.471,15.187,533.5,590.045,418.937,1222.5,1603.364,1309.067,18.0,23.273,23.412,4.5,9.227,11.157,14.5,21.227,18.299,8.0,11.545,11.677,632.5,671.682,460.805,15.5,17.955,14.298,15.5,14.955,11.004,1.0,1.864,3.212,15.0,37.909,51.354,61.0,67.727,44.739,15.0,22.318,23.041,19.0,22.273,21.173,47.2,45.914,21.269
