                       statistic                    top 1                   top 2                   top 3               bottom 1               bottom 2                 bottom 3
0                            age         Łukasz Fabiański            Ashley Young            James Milner    Chidozie Obi-Martin            Mikey Moore            Ethan Nwaneri
1                          games               Alex Iwobi          Anthony Elanga              Bernd Leno         Altay Bayındır           Ayden Heaven            Billy Gilmour
2                   games_starts               Bernd Leno         Bruno Guimarães            Bryan Mbeumo          Ali Al Hamadi                 Antony             Ben Chilwell
3                        minutes               Bernd Leno              David Raya          Dean Henderson           Ayden Heaven   Jahmai Simpson-Pusey            Billy Gilmour
4                          goals            Mohamed Salah          Alexander Isak          Erling Haaland        Aaron Cresswell         Aaron Ramsdale       Abdukodir Khusanov
5                        assists            Mohamed Salah            Jacob Murphy        Antonee Robinson        Aaron Cresswell         Aaron Ramsdale       Abdukodir Khusanov
6                   cards_yellow               Saša Lukić      Morgan Gibbs-White             Will Hughes  Abdul Fatawu Issahaku           Adam Webster          Albert Grønbaek
7                      cards_red          Bruno Fernandes           Jack Stephens      Myles Lewis-Skelly        Aaron Cresswell         Aaron Ramsdale        Aaron Wan-Bissaka
8                             xg            Mohamed Salah          Erling Haaland          Alexander Isak         Aaron Ramsdale     Abdukodir Khusanov             Adam Webster
9                      xg_assist            Mohamed Salah             Cole Palmer           Son Heung-min         Aaron Ramsdale        Albert Grønbaek            Alex McCarthy
10           progressive_carries              Jeremy Doku           Mohamed Salah            Noni Madueke         Aaron Ramsdale          Alex McCarthy              Alex Palmer
11            progressive_passes          Bruno Fernandes          Joško Gvardiol         Bruno Guimarães         Aaron Ramsdale          Alex McCarthy                  Alisson
12   progressive_passes_received            Mohamed Salah            Bryan Mbeumo      Alejandro Garnacho         Aaron Ramsdale          Alex McCarthy              Alex Palmer
13                   goals_per90              Jáder Durán           Donyell Malen            James Mcatee        Aaron Cresswell         Aaron Ramsdale       Abdukodir Khusanov
14                 assists_per90           Tyrique George              Danny Ings             Bukayo Saka        Aaron Cresswell         Aaron Ramsdale       Abdukodir Khusanov
15                      xg_per90             James Mcatee          Erling Haaland              Danny Ings         Aaron Ramsdale     Abdukodir Khusanov             Adam Webster
16               xg_assist_per90           Tyrique George         Mykhailo Mudryk         Luis Sinisterra         Aaron Ramsdale          Alex McCarthy              Alex Palmer
17        gk_goals_against_per90           Altay Bayındır              Danny Ward        Christian Walton           Jason Steele             David Raya                  Alisson
18                   gk_save_pct                     Neto            Mark Travers          Robert Sánchez         Altay Bayındır             Danny Ward  Hákon Rafn Valdimarsson
