,name,cluster
0,Aaron Cresswell,1
1,Aaron Ramsdale,3
2,Aaron Wan-Bissaka,2
3,Abdoulaye Doucouré,2
4,Abdukodir Khusanov,1
5,Abdul Fatawu Issahaku,1
6,Adam Armstrong,2
7,Adam Lallana,1
8,Adam Smith,0
9,Adam Webster,1
10,Adam Wharton,0
11,Adama Traoré,2
12,Albert Grønbaek,1
13,Alejandro Garnacho,2
14,Alex Iwobi,2
15,Alex McCarthy,3
16,Alex Palmer,3
17,Alex Scott,0
18,Alexander Isak,2
19,Alexis Mac Allister,2
20,Ali Al Hamadi,1
21,Alisson,3
22,Alphonse Areola,3
23,Altay Bayındır,3
24,Amad Diallo,2
25,Amadou Onana,0
26,Andreas Pereira,2
27,Andrew Robertson,0
28,André,0
29,André Onana,3
30,Andrés García,1
31,Andy Irving,1
32,Anthony Elanga,2
33,Anthony Gordon,2
34,Antoine Semenyo,2
35,Antonee Robinson,2
36,Antony,1
37,Antonín Kinský,3
38,Archie Gray,0
39,Arijanet Muric,3
40,Armando Broja,1
41,Armel Bella Kotchap,1
42,Ashley Young,0
43,Axel Disasi,1
44,Axel Tuanzebe,0
45,Ayden Heaven,1
46,Bart Verbruggen,3
47,Ben Brereton,1
48,Ben Chilwell,1
49,Ben Davies,0
50,Ben Godfrey,1
51,Ben Johnson,0
52,Ben Mee,1
53,Ben White,0
54,Benoît Badiashile,1
55,Bernardo Silva,2
56,Bernd Leno,3
57,Beto,2
58,Bilal El Khannouss,2
59,Billy Gilmour,1
60,Bobby De Cordova-Reid,1
61,Boubacar Kamara,0
62,Boubakary Soumaré,0
63,Brajan Gruda,1
64,Brennan Johnson,2
65,Bruno Fernandes,2
66,Bruno Guimarães,2
67,Bryan Mbeumo,2
68,Bukayo Saka,2
69,Caleb Okoli,0
70,Callum Hudson-Odoi,2
71,Callum Wilson,1
72,Calvin Bassey,0
73,Cameron Archer,1
74,Cameron Burgess,0
75,Caoimhín Kelleher,3
76,Carlos Alcaraz,1
77,Carlos Baleba,0
78,Carlos Forbs,1
79,Carlos Soler,0
80,Casemiro,0
81,Charlie Taylor,1
82,Cheick Doucouré,1
83,Chidozie Obi-Martin,1
84,Chiedozie Ogbene,1
85,Chris Richards,0
86,Chris Wood,2
87,Christian Eriksen,0
88,Christian Nørgaard,0
89,Christian Walton,3
90,Christopher Nkunku,2
91,Cody Gakpo,2
92,Cole Palmer,2
93,Conor Bradley,1
94,Conor Chaplin,1
95,Conor Coady,0
96,Conor Townsend,1
97,Craig Dawson,1
98,Cristian Romero,0
99,Crysencio Summerville,2
100,Curtis Jones,2
101,Daichi Kamada,0
102,Dan Burn,0
103,Dango Ouattara,2
104,Daniel Muñoz,2
105,Danilo,1
106,Danny Ings,1
107,Danny Ward,3
108,Danny Welbeck,2
109,Dara O'Shea,0
110,Darwin Núñez,2
111,David Brooks,2
112,David Raya,3
113,Dean Henderson,3
114,Dean Huijsen,0
115,Declan Rice,2
116,Dejan Kulusevski,2
117,Destiny Udogie,0
118,Diego Carlos,1
119,Diego Gómez,1
120,Diogo Dalot,0
121,Diogo Jota,2
122,Djed Spence,0
123,Dominic Calvert-Lewin,2
