,name,value predict (€1M),value (€1M)
0,Aaron Cresswell,-0.333,N/a
1,Aaron Ramsdale,11.603,18.7
2,Aaron Wan-Bissaka,38.35,26.9
3,Abdoulaye Doucouré,16.661,5.8
4,Abdukodir Khusanov,55.801,N/a
5,Abdul Fatawu Issahaku,23.925,N/a
6,Adam Armstrong,12.263,N/a
7,Adam Lallana,-21.916,N/a
8,Adam Smith,-4.818,1.5
9,Adam Webster,5.196,N/a
10,Adam Wharton,43.112,48.9
11,Adama Traoré,18.825,8.0
12,Albert Grønbaek,3.213,N/a
13,Alejandro Garnacho,69.344,60.7
14,Alex Iwobi,37.633,30.3
15,Alex McCarthy,-20.733,N/a
16,Alex Palmer,8.147,1.6
17,Alex Scott,35.432,N/a
18,Alexander Isak,85.201,120.3
19,Alexis Mac Allister,61.625,106.1
20,Ali Al Hamadi,19.447,N/a
21,Alisson,21.523,24.1
22,Alphonse Areola,13.48,11.8
23,Altay Bayındır,22.145,N/a
24,Amad Diallo,57.425,48.5
25,Amadou Onana,46.64,62.1
26,Andreas Pereira,22.583,19.0
27,Andrew Robertson,34.715,24.0
28,André,36.646,29.8
29,André Onana,29.226,34.2
30,Andrés García,37.326,N/a
31,Andy Irving,26.697,N/a
32,Anthony Elanga,44.41,45.5
33,Anthony Gordon,61.492,49.5
34,Antoine Semenyo,49.591,47.7
35,Antonee Robinson,22.576,46.4
36,Antony,43.755,N/a
37,Antonín Kinský,37.797,N/a
38,Archie Gray,50.266,58.2
39,Arijanet Muric,16.056,10.1
40,Armando Broja,21.647,N/a
41,Armel Bella Kotchap,18.445,N/a
42,Ashley Young,-13.28,1.3
43,Axel Disasi,23.228,N/a
44,Axel Tuanzebe,6.168,4.2
45,Ayden Heaven,45.169,N/a
46,Bart Verbruggen,35.173,30.7
47,Ben Brereton,4.54,N/a
48,Ben Chilwell,5.401,N/a
49,Ben Davies,15.735,5.6
50,Ben Godfrey,7.122,N/a
51,Ben Johnson,17.2,12.6
52,Ben Mee,-21.994,N/a
53,Ben White,24.687,58.8
54,Benoît Badiashile,32.181,N/a
55,Bernardo Silva,48.855,50.0
56,Bernd Leno,0.747,13.7
57,Beto,26.481,24.4
58,Bilal El Khannouss,40.554,40.6
59,Billy Gilmour,17.799,N/a
60,Bobby De Cordova-Reid,-5.847,N/a
61,Boubacar Kamara,36.095,46.3
62,Boubakary Soumaré,22.038,15.4
63,Brajan Gruda,27.36,N/a
64,Brennan Johnson,62.675,71.3
65,Bruno Fernandes,67.34,54.8
66,Bruno Guimarães,63.086,83.2
67,Bryan Mbeumo,50.694,57.2
68,Bukayo Saka,61.432,101.3
69,Caleb Okoli,24.865,16.7
70,Callum Hudson-Odoi,42.43,30.2
71,Callum Wilson,1.371,N/a
72,Calvin Bassey,30.813,29.9
73,Cameron Archer,28.087,18.6
74,Cameron Burgess,8.825,1.7
75,Caoimhín Kelleher,33.886,N/a
76,Carlos Alcaraz,44.797,N/a
77,Carlos Baleba,51.406,52.4
78,Carlos Forbs,26.355,N/a
79,Carlos Soler,28.32,23.4
80,Casemiro,18.958,11.6
81,Charlie Taylor,-10.063,N/a
82,Cheick Doucouré,24.642,N/a
83,Chidozie Obi-Martin,54.288,N/a
84,Chiedozie Ogbene,-0.253,N/a
85,Chris Richards,29.066,15.7
86,Chris Wood,15.016,7.8
87,Christian Eriksen,10.0,4.2
88,Christian Nørgaard,18.053,14.4
89,Christian Walton,4.237,N/a
90,Christopher Nkunku,42.864,51.7
91,Cody Gakpo,54.503,67.5
92,Cole Palmer,102.153,115.4
93,Conor Bradley,48.99,N/a
94,Conor Chaplin,11.059,N/a
95,Conor Coady,0.592,2.2
96,Conor Townsend,-9.529,N/a
97,Craig Dawson,-5.388,1.5
98,Cristian Romero,41.689,60.1
99,Crysencio Summerville,43.578,N/a
100,Curtis Jones,60.813,61.7
101,Daichi Kamada,19.78,14.6
102,Dan Burn,19.811,9.1
103,Dango Ouattara,35.717,28.5
104,Daniel Muñoz,29.215,30.9
105,Danilo,29.689,N/a
106,Danny Ings,23.453,N/a
107,Danny Ward,-3.439,N/a
108,Danny Welbeck,15.169,6.0
109,Dara O'Shea,23.265,19.5
110,Darwin Núñez,48.888,60.9
111,David Brooks,20.028,N/a
112,David Raya,24.575,28.9
113,Dean Henderson,21.385,22.7
114,Dean Huijsen,53.098,55.0
115,Declan Rice,54.228,107.8
116,Dejan Kulusevski,52.427,60.5
117,Destiny Udogie,47.902,59.4
118,Diego Carlos,17.606,N/a
119,Diego Gómez,29.499,N/a
120,Diogo Dalot,40.406,37.4
121,Diogo Jota,52.191,58.6
122,Djed Spence,41.059,19.8
123,Dominic Calvert-Lewin,20.929,17.8
124,Dominic Solanke,49.274,52.1
125,Dominik Szoboszlai,74.332,71.4
126,Donyell Malen,42.091,N/a
127,Dwight McNeil,32.175,27.0
128,Eberechi Eze,50.481,62.2
129,Eddie Nketiah,37.241,N/a
130,Ederson,32.57,19.1
131,Edmond-Paris Maghoma,16.874,N/a
132,Edson Álvarez,28.6,36.5
133,Elliot Anderson,50.142,46.5
134,Emerson Palmieri,22.441,12.6
135,Emi Buendía,37.862,N/a
136,Emil Krafth,10.002,N/a
137,Emile Smith Rowe,42.702,40.8
138,Emiliano Martínez,19.539,17.5
139,Emmanuel Agbadou,14.995,18.0
140,Enes Ünal,27.945,N/a
141,Enzo Fernández,72.395,73.7
142,Erling Haaland,128.197,198.8
143,Ethan Nwaneri,52.97,N/a
144,Ethan Pinnock,1.711,7.6
145,Evan Ferguson,27.524,N/a
146,Evanilson,48.67,26.9
147,Ezri Konsa,35.149,42.7
148,Fabian Schär,21.209,11.0
149,Fabio Carvalho,31.327,N/a
150,Facundo Buonanotte,47.814,30.7
151,Ferdi Kadioglu,16.971,N/a
152,Filip Jørgensen,35.526,N/a
153,Flynn Downes,15.242,9.2
154,Fraser Forster,-5.477,N/a
155,Gabriel Jesus,36.955,N/a
156,Gabriel Magalhães,48.049,75.5
157,Gabriel Martinelli,53.236,62.6
158,George Hirst,9.08,N/a
159,Georginio Rutter,37.762,41.3
160,Gonçalo Guedes,19.968,N/a
161,Guglielmo Vicario,23.919,41.6
162,Guido Rodríguez,16.349,13.6
163,Hamza Choudhury,2.727,N/a
164,Harrison Reed,0.076,N/a
165,Harry Amass,44.504,N/a
166,Harry Clarke,17.783,N/a
167,Harry Maguire,17.402,13.7
168,Harry Toffolo,4.442,N/a
169,Harry Wilson,22.31,14.5
170,Harry Winks,13.667,11.4
171,Harvey Barnes,47.413,41.5
172,Harvey Elliott,51.676,N/a
173,Hwang Hee-chan,9.544,N/a
174,Hákon Rafn Valdimarsson,16.044,N/a
175,Ian Maatsen,44.15,40.6
176,Ibrahim Sangaré,17.775,N/a
177,Ibrahima Konaté,52.372,57.2
178,Idrissa Gana Gueye,3.466,5.0
179,Igor,18.425,25.0
180,Iliman Ndiaye,35.639,25.7
181,Illia Zabarnyi,43.04,58.8
182,Ismaila Sarr,40.428,25.7
183,Issa Diop,9.565,17.9
184,Jack Clarke,22.881,19.4
185,Jack Grealish,38.933,N/a
186,Jack Harrison,19.982,17.7
187,Jack Hinshelwood,40.707,9.2
188,Jack Stephens,-0.051,1.4
189,Jack Taylor,16.399,N/a
190,Jacob Greaves,25.669,25.1
191,Jacob Murphy,33.252,17.9
192,Jacob Ramsey,42.681,45.8
193,Jaden Philogene Bidace,35.713,N/a
194,Jadon Sancho,42.755,37.7
195,Jahmai Simpson-Pusey,58.102,N/a
196,Jake O'Brien,29.751,19.7
197,Jakub Kiwior,35.668,N/a
198,Jakub Stolarczyk,22.428,N/a
199,James Bree,4.724,N/a
200,James Garner,28.429,23.2
201,James Hill,22.943,N/a
202,James Justin,20.992,17.0
203,James Maddison,56.707,58.1
204,James Mcatee,76.465,N/a
205,James Milner,-26.42,N/a
206,James Tarkowski,15.666,11.8
207,James Ward-Prowse,10.157,N/a
208,Jamie Vardy,-0.36,1.0
209,Jan Bednarek,12.531,12.9
210,Jan Paul van Hecke,49.011,42.4
211,Jannik Vestergaard,-1.538,2.0
212,Jarell Quansah,44.521,N/a
213,Jarrad Branthwaite,39.898,32.2
214,Jarrod Bowen,48.1,48.1
215,Jason Steele,-11.007,N/a
216,Jean-Clair Todibo,32.403,36.0
217,Jean-Philippe Mateta,41.079,31.7
218,Jean-Ricner Bellegarde,21.327,21.3
219,Jefferson Lerma,13.852,13.6
220,Jeffrey Schlupp,-0.892,N/a
221,Jens Cajuste,17.812,15.5
222,Jeremy Doku,60.961,66.2
223,Jesper Lindstrøm,23.556,24.4
224,Joachim Andersen,19.788,31.4
225,Joe Aribo,12.847,6.9
226,Joe Gomez,31.764,N/a
227,Joe Lumley,-5.908,N/a
228,Joe Willock,34.892,35.8
229,Joelinton,42.393,47.5
230,John McGinn,29.137,22.5
231,John Stones,29.992,N/a
